,Trial,BPM,GestureSize,TimeDiffRegionOne,TimeDiffRegionTwo
0,1.0,80.0,S,0.3,0.16000000000000003
1,2.0,80.0,S,0.32,0.16000000000000003
2,3.0,80.0,S,0.36,0.16000000000000003
3,4.0,80.0,S,0.2799999999999999,0.12
4,5.0,80.0,S,0.33000000000000007,0.17000000000000004
5,6.0,80.0,S,0.30999999999999994,0.16999999999999993
6,7.0,80.0,S,0.37,0.15000000000000002
7,8.0,80.0,S,0.35000000000000003,0.13
8,9.0,80.0,S,0.42999999999999994,0.18999999999999995
9,10.0,80.0,S,0.35,0.17000000000000004
10,11.0,80.0,S,0.32999999999999996,0.1499999999999999
11,12.0,80.0,S,0.31000000000000005,0.15000000000000002
12,13.0,80.0,S,0.30000000000000004,0.16000000000000003
13,14.0,80.0,S,0.38,0.16000000000000003
14,15.0,80.0,S,0.37,0.15000000000000002
15,16.0,80.0,S,0.31000000000000005,0.15000000000000002
16,17.0,80.0,S,0.37,0.15000000000000002
17,18.0,80.0,S,0.33000000000000007,0.17000000000000004
18,19.0,80.0,S,0.32999999999999996,0.15000000000000002
19,20.0,80.0,S,0.35000000000000003,0.15000000000000002
20,21.0,80.0,S,0.26999999999999996,0.13
21,22.0,80.0,S,0.24999999999999994,0.10999999999999999
22,23.0,80.0,S,0.26999999999999996,0.13
23,24.0,80.0,S,0.25,0.13
24,25.0,80.0,S,0.24999999999999994,0.13
25,26.0,80.0,S,0.27,0.10999999999999999
26,27.0,80.0,S,0.26999999999999996,0.13
27,28.0,80.0,S,0.26999999999999996,0.13
28,29.0,80.0,S,0.27,0.10999999999999999
29,30.0,80.0,S,0.33,0.15000000000000002
30,31.0,80.0,S,0.22999999999999993,0.10999999999999999
31,32.0,80.0,S,0.26999999999999996,0.15000000000000002
32,33.0,80.0,S,0.22999999999999998,0.10999999999999999
33,34.0,80.0,S,0.33,0.13
34,35.0,80.0,S,0.24999999999999994,0.10999999999999999
35,36.0,80.0,S,0.27,0.08999999999999997
36,37.0,80.0,S,0.24999999999999994,0.10999999999999999
37,38.0,80.0,S,0.22999999999999998,0.13
38,39.0,80.0,S,0.25,0.10999999999999999
39,40.0,80.0,S,0.21000000000000002,0.10999999999999999
40,1.0,100.0,S,0.24999999999999994,0.10999999999999999
41,2.0,100.0,S,0.26999999999999996,0.10999999999999999
42,3.0,100.0,S,0.31,0.10999999999999999
43,5.0,100.0,S,0.25000000000000006,0.11000000000000004
44,6.0,100.0,S,0.25,0.13
45,7.0,100.0,S,0.31000000000000005,0.10999999999999999
46,8.0,100.0,S,0.23000000000000004,0.09000000000000002
47,9.0,100.0,S,0.25,0.10999999999999999
48,10.0,100.0,S,0.25,0.10999999999999999
49,11.0,100.0,S,0.26999999999999996,0.10999999999999999
50,12.0,100.0,S,0.24999999999999994,0.08999999999999997
51,13.0,100.0,S,0.25,0.10999999999999999
52,14.0,100.0,S,0.24999999999999994,0.1299999999999999
53,15.0,100.0,S,0.25,0.10999999999999999
54,16.0,100.0,S,0.22999999999999998,0.10999999999999999
55,17.0,100.0,S,0.25,0.10999999999999999
56,18.0,100.0,S,0.20999999999999996,0.08999999999999997
57,19.0,100.0,S,0.26999999999999996,0.13
58,20.0,100.0,S,0.21000000000000002,0.08999999999999997
59,21.0,100.0,S,0.27,0.13
60,22.0,100.0,S,0.26999999999999996,0.10999999999999999
61,23.0,100.0,S,0.26999999999999996,0.10999999999999999
62,24.0,100.0,S,0.25,0.13
63,25.0,100.0,S,0.21000000000000002,0.09000000000000008
64,26.0,100.0,S,0.26999999999999996,0.10999999999999999
65,27.0,100.0,S,0.22999999999999998,0.10999999999999999
66,28.0,100.0,S,0.31,0.13
67,29.0,100.0,S,0.22999999999999993,0.10999999999999999
68,30.0,100.0,S,0.21000000000000002,0.08999999999999997
69,31.0,100.0,S,0.22999999999999998,0.08999999999999997
70,32.0,100.0,S,0.25,0.10999999999999999
71,33.0,100.0,S,0.19,0.08999999999999997
72,34.0,100.0,S,0.25,0.10999999999999999
73,35.0,100.0,S,0.22999999999999998,0.10999999999999999
74,36.0,100.0,S,0.23000000000000004,0.09000000000000008
75,37.0,100.0,S,0.25,0.10999999999999999
76,38.0,100.0,S,0.21000000000000002,0.09000000000000008
77,39.0,100.0,S,0.23000000000000004,0.08999999999999997
78,40.0,100.0,S,0.22999999999999998,0.10999999999999999
79,1.0,120.0,S,0.21000000000000002,0.11000000000000004
80,2.0,120.0,S,0.20999999999999996,0.08999999999999997
81,3.0,120.0,S,0.21000000000000002,0.09000000000000002
82,4.0,120.0,S,0.22999999999999998,0.09000000000000002
83,5.0,120.0,S,0.22999999999999998,0.08999999999999997
84,6.0,120.0,S,0.15000000000000002,0.050000000000000044
85,7.0,120.0,S,0.21000000000000008,0.07000000000000006
86,8.0,120.0,S,0.21000000000000008,0.11000000000000004
87,9.0,120.0,S,0.15000000000000002,0.07
88,10.0,120.0,S,0.27,0.09000000000000002
89,11.0,120.0,S,0.21000000000000002,0.09000000000000002
90,12.0,120.0,S,0.20999999999999996,0.08999999999999997
91,13.0,120.0,S,0.19000000000000006,0.09000000000000008
92,14.0,120.0,S,0.19000000000000006,0.09000000000000002
93,15.0,120.0,S,0.15000000000000002,0.050000000000000044
94,16.0,120.0,S,0.23000000000000004,0.09000000000000008
95,17.0,120.0,S,0.23000000000000004,0.09000000000000008
96,18.0,120.0,S,0.22999999999999998,0.08999999999999997
97,19.0,120.0,S,0.21000000000000002,0.11000000000000004
98,20.0,120.0,S,0.23000000000000004,0.07000000000000006
99,21.0,120.0,S,0.22000000000000003,0.09999999999999998
100,22.0,120.0,S,0.21000000000000008,0.09000000000000008
101,23.0,120.0,S,0.24999999999999994,0.10999999999999999
102,24.0,120.0,S,0.25,0.10999999999999999
103,25.0,120.0,S,0.29,0.10999999999999999
104,26.0,120.0,S,0.19000000000000006,0.09000000000000002
105,27.0,120.0,S,0.22999999999999998,0.10999999999999999
106,28.0,120.0,S,0.30000000000000004,0.12000000000000005
107,29.0,120.0,S,0.22999999999999998,0.10999999999999999
108,30.0,120.0,S,0.23000000000000004,0.09000000000000002
109,31.0,120.0,S,0.20999999999999996,0.07
110,32.0,120.0,S,0.22999999999999998,0.09000000000000002
111,33.0,120.0,S,0.18999999999999995,0.08999999999999997
112,34.0,120.0,S,0.21000000000000002,0.11000000000000004
113,36.0,120.0,S,0.21000000000000008,0.09000000000000008
114,37.0,120.0,S,0.23,0.09000000000000002
115,38.0,120.0,S,0.19000000000000006,0.09000000000000008
116,39.0,120.0,S,0.17000000000000004,0.07000000000000006
117,40.0,120.0,S,0.19,0.08999999999999997
118,1.0,80.0,M,0.39,0.15000000000000002
119,2.0,80.0,M,0.32999999999999996,0.13
120,3.0,80.0,M,0.31000000000000005,0.13
121,4.0,80.0,M,0.35,0.10999999999999999
122,5.0,80.0,M,0.37000000000000005,0.13
123,6.0,80.0,M,0.35000000000000003,0.10999999999999999
124,7.0,80.0,M,0.31000000000000005,0.1100000000000001
125,8.0,80.0,M,0.4099999999999999,0.16999999999999993
126,9.0,80.0,M,0.33000000000000007,0.15000000000000002
127,10.0,80.0,M,0.27,0.13
128,11.0,80.0,M,0.30999999999999994,0.16999999999999993
129,12.0,80.0,M,0.31000000000000005,0.13
130,13.0,80.0,M,0.30999999999999994,0.15000000000000002
131,14.0,80.0,M,0.41000000000000003,0.17000000000000004
