,Trial,BPM,GestureSize,MedianVelocityYRegionOne,MedianVelocityYRegionTwo
102,24.0,120.0,S,0.9200961999999999,-0.36066750000000003
103,25.0,120.0,S,1.04796435,-0.4138172
104,26.0,120.0,S,1.01461,-0.6129765500000001
105,27.0,120.0,S,0.96023,-0.31296999999999997
106,28.0,120.0,S,0.9132195999999999,-0.39981500000000003
107,29.0,120.0,S,0.9303136000000001,-0.5748800999999999
108,30.0,120.0,S,0.87076015,-0.27186809999999995
109,31.0,120.0,S,0.9582824000000001,-0.23138330000000001
110,32.0,120.0,S,1.172741,-0.26613312499999997
111,33.0,120.0,S,0.94097575,-0.48964545000000004
112,34.0,120.0,S,1.096545,-0.532122
113,36.0,120.0,S,0.8463242,-0.3891327
114,37.0,120.0,S,0.9935074500000001,-0.31596490000000005
115,38.0,120.0,S,0.93916595,-0.64936395
116,39.0,120.0,S,0.8579370999999999,-0.59945895
117,40.0,120.0,S,0.9841591999999999,-0.5013185
118,1.0,80.0,M,1.7999414999999999,-0.82317835
119,2.0,80.0,M,1.780329,-0.6693412
120,3.0,80.0,M,1.5659109999999998,-0.77302825
121,4.0,80.0,M,1.7790279999999998,-0.6981565
122,5.0,80.0,M,1.593137,-0.7293871
123,6.0,80.0,M,1.523886,-0.6729071999999999
124,7.0,80.0,M,1.388134,-0.6530892
125,8.0,80.0,M,1.50034,-0.80695005
126,9.0,80.0,M,1.405521,-0.7742899999999999
127,10.0,80.0,M,1.1453384999999998,-0.7443645999999999
128,11.0,80.0,M,1.204004,-0.6919702
129,12.0,80.0,M,1.269529,-0.70350545
130,13.0,80.0,M,1.461338,-0.7162937
131,14.0,80.0,M,1.418713,-0.6486996
132,15.0,80.0,M,1.0869605,-0.7392406
133,16.0,80.0,M,1.2687545,-0.6927767
134,17.0,80.0,M,1.3008195,-0.56952295
135,18.0,80.0,M,1.197047,-0.6301753999999999
136,19.0,80.0,M,1.460625,-0.6251928000000001
137,20.0,80.0,M,1.102678,-0.6173778000000001
138,21.0,80.0,M,1.106781,-0.3711663
139,22.0,80.0,M,1.342084,-0.6510406999999999
140,23.0,80.0,M,1.04816,-0.7321488
141,24.0,80.0,M,1.046074,-0.6370661
142,25.0,80.0,M,1.4009479999999999,-0.6195225999999999
143,26.0,80.0,M,1.258057,-0.6451496
144,27.0,80.0,M,1.4088470000000002,-0.5480825
145,28.0,80.0,M,1.318809,-0.38654279999999996
146,29.0,80.0,M,1.3559219999999998,-0.5322576
147,30.0,80.0,M,1.283662,-0.8821865
148,31.0,80.0,M,1.3482215000000002,-0.7107195
149,32.0,80.0,M,1.366884,-0.5814227000000001
150,33.0,80.0,M,1.3790045,-0.5265741
151,34.0,80.0,M,1.4551180000000001,-0.5690894000000001
152,35.0,80.0,M,1.210956,-0.7568661999999999
153,36.0,80.0,M,1.2360229999999999,-0.2936359000000001
154,37.0,80.0,M,1.1538805,-0.3958288
155,38.0,80.0,M,1.1813565000000001,-0.78269405
156,39.0,80.0,M,1.22969,-0.7419975999999999
157,40.0,80.0,M,1.293012,-0.4782149000000001
158,1.0,100.0,M,1.592827,-0.9531283000000002
159,2.0,100.0,M,1.428168,-0.8289339
160,3.0,100.0,M,1.7372880000000002,-0.5767131
161,4.0,100.0,M,2.1491819999999997,-0.6168071999999999
162,5.0,100.0,M,1.466744,-0.3641508
163,6.0,100.0,M,1.5691525,-0.6128316999999999
164,7.0,100.0,M,1.466725,-0.58484355
165,8.0,100.0,M,1.424589,-0.6628781
166,9.0,100.0,M,1.4679389999999999,-1.00629545
167,10.0,100.0,M,1.554041,-0.5074204999999999
168,11.0,100.0,M,1.441756,-0.9272575000000001
169,12.0,100.0,M,1.526126,-0.84576425
170,13.0,100.0,M,1.551495,-0.8944209999999999
171,14.0,100.0,M,1.13175755,-0.86356515
172,15.0,100.0,M,1.2684790000000001,-0.8258923
173,16.0,100.0,M,1.1513635,-0.5518736999999999
174,17.0,100.0,M,1.553985,-0.75887755
175,18.0,100.0,M,1.6819099999999998,-0.8791758
176,19.0,100.0,M,1.304784,-0.7234629
177,20.0,100.0,M,1.613743,-0.4741844
178,21.0,100.0,M,1.02020745,-0.5281814
179,22.0,100.0,M,1.257256,-0.3947234000000001
180,23.0,100.0,M,1.206453,-0.57756775
181,24.0,100.0,M,1.3725049999999999,-0.7379690999999999
182,25.0,100.0,M,1.1452805000000001,-0.5626767500000001
183,26.0,100.0,M,0.8895193000000001,-0.7321583
184,27.0,100.0,M,1.2730110000000001,-0.8292591
185,28.0,100.0,M,1.399218,-0.5597809
186,29.0,100.0,M,1.2320639999999998,-0.6013858
187,30.0,100.0,M,1.137316,-0.41072879999999995
188,31.0,100.0,M,1.435267,-0.5623071
189,32.0,100.0,M,1.340612,-0.5015252
190,33.0,100.0,M,1.0633145,-0.6021815500000001
191,34.0,100.0,M,1.131839,-0.8266684000000001
192,35.0,100.0,M,1.288805,-0.7205078
193,36.0,100.0,M,1.111396,-0.7160032000000001
194,37.0,100.0,M,1.087519,-0.3528009000000001
195,38.0,100.0,M,1.070017,-0.6433984
196,39.0,100.0,M,1.043452,-0.72447755
197,40.0,100.0,M,1.116732,-0.53448235
198,1.0,120.0,M,1.6627049999999999,-0.48711255
199,2.0,120.0,M,1.7694554999999998,-0.40383620000000003
200,3.0,120.0,M,1.3192875000000002,-0.575623
201,4.0,120.0,M,1.349556,-0.448412
202,5.0,120.0,M,1.35337,-0.6314625
203,6.0,120.0,M,1.254013,-0.6090916000000001
204,7.0,120.0,M,1.508302,-0.6652601499999999
205,8.0,120.0,M,1.443767,-0.9950041999999999
206,9.0,120.0,M,1.5884945000000001,-0.5352020000000001
207,10.0,120.0,M,1.437801,-0.9119385499999999
208,11.0,120.0,M,1.320548,-0.6338093000000001
209,12.0,120.0,M,1.7207134999999996,-0.6370524000000001
210,13.0,120.0,M,1.595218,-0.9365152
211,14.0,120.0,M,1.7567175000000002,-0.8307108
212,15.0,120.0,M,1.5643989999999999,-0.6173444
213,16.0,120.0,M,1.471838,-0.8379091000000001
214,17.0,120.0,M,1.7162415000000002,-0.5482788000000001
215,18.0,120.0,M,1.7274975,-0.8000444
216,19.0,120.0,M,1.5313780000000001,-0.6162434
217,20.0,120.0,M,1.399632,-0.6715333
218,21.0,120.0,M,1.2497535,-0.4319575
219,22.0,120.0,M,1.354307,-0.5991596
220,23.0,120.0,M,1.322599,-0.4781477
221,24.0,120.0,M,0.99534655,-0.6843324000000001
222,25.0,120.0,M,1.1569625,-0.4519455
223,26.0,120.0,M,1.483678,-0.7476401
224,27.0,120.0,M,0.8348447,-0.4526339
225,28.0,120.0,M,1.1147040000000001,-0.7165198500000001
226,29.0,120.0,M,1.154596,-0.6206268
227,30.0,120.0,M,1.0868414499999999,-0.6600341
228,31.0,120.0,M,1.1886812,-0.63675285
229,32.0,120.0,M,1.334496,-0.60860765
230,33.0,120.0,M,1.2356525,-0.6003619
231,34.0,120.0,M,1.11257545,-0.5182579
232,35.0,120.0,M,1.003053,-0.57175425
233,36.0,120.0,M,1.224263,-0.6025523
234,37.0,120.0,M,1.4120835,-0.346436
235,38.0,120.0,M,1.050258,-0.5854512
236,39.0,120.0,M,1.3273905,-0.6187289
237,40.0,120.0,M,1.356161,-0.9401833500000001
238,1.0,80.0,L,1.673859,-0.71879375
239,2.0,80.0,L,1.8262580000000002,-0.7955825
240,3.0,80.0,L,1.758502,-0.67283385
241,4.0,80.0,L,1.330031,-0.6644331
242,5.0,80.0,L,1.392584,-0.63061
243,6.0,80.0,L,1.6671215,-0.69496435
244,7.0,80.0,L,1.45076,-0.60233885
245,8.0,80.0,L,1.872516,-0.5252759
246,9.0,80.0,L,1.3275620000000001,-0.6401563
247,10.0,80.0,L,1.761627,-0.73886975
248,11.0,80.0,L,1.9253799999999999,-0.5419241
249,12.0,80.0,L,1.6356245,-0.6957726
250,13.0,80.0,L,1.856832,-0.8103501000000001
251,14.0,80.0,L,1.82257,-0.6534378000000001
252,15.0,80.0,L,1.901218,-0.7411406999999999
253,16.0,80.0,L,2.037758,-0.9473088
254,17.0,80.0,L,1.6686360000000002,-0.8913196
255,18.0,80.0,L,1.603249,-0.82417845
256,19.0,80.0,L,1.5127609999999998,-0.7577214
257,20.0,80.0,L,2.074329,-0.7849990499999999
258,21.0,80.0,L,1.468438,-0.9395128
259,22.0,80.0,L,1.9588135,-0.7828134
260,23.0,80.0,L,1.627684,-0.67783
261,24.0,80.0,L,1.388267,-0.9299959000000001
262,25.0,80.0,L,1.9422785,-0.6560743500000001
263,26.0,80.0,L,1.8239874999999999,-0.6579968
264,27.0,80.0,L,1.7299060000000002,-0.6897238
265,28.0,80.0,L,1.470531,-0.8550475000000001
266,29.0,80.0,L,1.6548319999999999,-0.6405855
267,30.0,80.0,L,1.316542,-1.0327469999999999
268,31.0,80.0,L,1.755379,-0.6172051
269,32.0,80.0,L,1.551078,-0.52137545
270,33.0,80.0,L,1.402638,-0.5849831000000001
271,34.0,80.0,L,1.7628605000000002,-0.6178566999999999
272,35.0,80.0,L,1.7388605,-0.567928
273,36.0,80.0,L,1.520586,-0.79630345
274,37.0,80.0,L,1.7910765,-0.57174125
275,38.0,80.0,L,1.599127,-0.8317161
276,39.0,80.0,L,1.6017549999999998,-0.5994238
277,40.0,80.0,L,1.6752799999999999,-0.758293
278,1.0,100.0,L,2.005525,-0.700258
279,2.0,100.0,L,2.062975,-0.9768541999999999
280,3.0,100.0,L,2.242752,-0.5195334
281,4.0,100.0,L,1.724775,-0.8284705499999999
282,5.0,100.0,L,2.051398,-0.77031575
283,6.0,100.0,L,2.315505,-0.8222615
284,7.0,100.0,L,2.042447,-0.7356153000000001
285,8.0,100.0,L,2.415677,-0.7474494
286,9.0,100.0,L,2.259112,-0.8778741500000001
287,10.0,100.0,L,2.266916,-0.75838785
288,11.0,100.0,L,2.2663919999999997,-0.8100042
289,12.0,100.0,L,1.8212700000000002,-0.866762
290,13.0,100.0,L,2.098679,-0.9036554000000001
291,14.0,100.0,L,2.071701,-0.6855165
292,15.0,100.0,L,1.851335,-0.6182046999999999
293,16.0,100.0,L,2.0486139999999997,-0.67073855
294,17.0,100.0,L,1.9815014999999998,-1.144764
295,18.0,100.0,L,2.151277,-0.9515998
296,19.0,100.0,L,1.378735,-0.7177640000000001
297,20.0,100.0,L,1.9477970000000002,-0.726755
298,21.0,100.0,L,1.5787209999999998,-0.8304243
299,22.0,100.0,L,1.6940589999999998,-0.7435095
300,23.0,100.0,L,1.7078925,-0.5510914000000001
301,24.0,100.0,L,1.3979854999999999,-0.9875153999999999
302,25.0,100.0,L,1.563416,-0.6639820999999999
303,26.0,100.0,L,1.6096545,-0.7521741
304,27.0,100.0,L,1.6906419999999998,-0.8014161
305,28.0,100.0,L,1.265743,-0.512368
306,29.0,100.0,L,1.528901,-0.7740694
307,30.0,100.0,L,1.4674399999999999,-0.6735767
308,31.0,100.0,L,1.3354270000000001,-0.7135216999999999
309,32.0,100.0,L,1.655769,-0.6641484000000001
310,33.0,100.0,L,1.271324,-0.4983425
311,34.0,100.0,L,1.1908535,-0.85923065
312,35.0,100.0,L,1.434576,-0.68621545
313,36.0,100.0,L,1.302359,-0.8725816499999999
314,37.0,100.0,L,1.5003715,-0.7925388000000001
315,38.0,100.0,L,1.2317494999999998,-0.37009580000000003
316,39.0,100.0,L,1.400927,-0.6698687999999999
317,40.0,100.0,L,1.420801,-0.6375021
318,1.0,120.0,L,2.1608535,-1.242178
319,2.0,120.0,L,2.080347,-0.8505935
320,3.0,120.0,L,2.3691245,-0.62382835
321,4.0,120.0,L,2.561476,-0.7385021
322,5.0,120.0,L,2.038355,-0.7011015
323,6.0,120.0,L,2.492134,-1.104276
324,7.0,120.0,L,1.9494000000000002,-0.87545655
325,8.0,120.0,L,2.398777,-1.037815
326,9.0,120.0,L,2.169262,-1.02154
327,10.0,120.0,L,1.7685110000000002,-0.78258965
328,11.0,120.0,L,1.8166759999999997,-0.5589278
329,12.0,120.0,L,2.275048,-1.0000280000000001
330,13.0,120.0,L,2.162056,-1.041101
331,14.0,120.0,L,2.1302095000000003,-0.6318909
332,15.0,120.0,L,2.277479,-0.8821408500000001
333,16.0,120.0,L,1.5549445,-0.5394531
334,17.0,120.0,L,1.9070880000000001,-0.9863000499999999
335,18.0,120.0,L,2.0368880000000003,-0.8576902
336,19.0,120.0,L,2.0800305000000003,-0.4066657
337,20.0,120.0,L,2.236682,-1.092001
338,21.0,120.0,L,1.4869715,-0.7713526500000001
339,22.0,120.0,L,1.3473615,-0.49062515000000007
340,23.0,120.0,L,1.7394180000000001,-0.62987405
341,24.0,120.0,L,1.8995175,-0.6226590999999999
342,25.0,120.0,L,1.5842519999999998,-0.8125849
343,26.0,120.0,L,1.6347155,-1.038732
344,27.0,120.0,L,1.5764665,-0.8033475
345,28.0,120.0,L,1.8922970000000001,-0.5667298500000001
346,29.0,120.0,L,1.644844,-0.9621393
347,30.0,120.0,L,1.8127754999999999,-0.64076455
348,31.0,120.0,L,1.831237,-0.50853835
349,32.0,120.0,L,1.503701,-1.0499570999999999
350,33.0,120.0,L,1.941279,-0.11921489999999994
351,34.0,120.0,L,2.095939,-0.4355089
352,35.0,120.0,L,2.248009,-0.36694150000000003
353,36.0,120.0,L,1.62388,-0.8529825000000001
354,37.0,120.0,L,1.7922509999999998,-0.5409514000000001
355,38.0,120.0,L,1.4998185,-0.8778226
356,39.0,120.0,L,1.7837349999999998,-0.18769760000000002
357,40.0,120.0,L,1.6409599999999998,-0.8248923
