,Trial,BPM,GestureSize,TotalDistanceCoveredInRegionOne,TotalDistanceCoveredInRegionTwo,TotalDistanceCoveredBothRegions
79,1.0,120.0,S,0.2140417,0.08329750000000002,0.2973392
80,2.0,120.0,S,0.22171639999999998,0.08844580000000007,0.31016220000000005
81,3.0,120.0,S,0.2384775,0.09825070000000002,0.33672820000000003
82,4.0,120.0,S,0.21819760000000002,0.09443139999999997,0.312629
83,5.0,120.0,S,0.2139355,0.0784936,0.2924291
84,6.0,120.0,S,0.2358129,0.0999602,0.3357731
85,7.0,120.0,S,0.2784722,0.12465000000000004,0.40312220000000004
86,8.0,120.0,S,0.3006929,0.11073630000000012,0.4114292000000001
87,9.0,120.0,S,0.2437839,0.09957669999999996,0.34336059999999996
88,10.0,120.0,S,0.2842288,0.12255929999999998,0.4067881
89,11.0,120.0,S,0.27432929999999994,0.11295220000000006,0.3872815
90,12.0,120.0,S,0.29020159999999995,0.11308920000000006,0.4032908
91,13.0,120.0,S,0.2732865,0.11324120000000004,0.38652770000000003
92,14.0,120.0,S,0.3025703,0.09727940000000002,0.39984970000000003
93,15.0,120.0,S,0.3151213,0.1327893,0.4479106
94,16.0,120.0,S,0.2900547,0.1152495,0.4053042
95,17.0,120.0,S,0.3129686,0.12920120000000013,0.4421698000000001
96,18.0,120.0,S,0.3397166,0.1511744,0.49089099999999997
97,19.0,120.0,S,0.3554285,0.1161121,0.4715406
98,20.0,120.0,S,0.347236,0.16932000000000003,0.516556
99,21.0,120.0,S,0.2451221,0.10410740000000002,0.3492295
100,22.0,120.0,S,0.27340349999999997,0.1137496,0.3871531
101,23.0,120.0,S,0.30741890000000005,0.13222010000000006,0.4396390000000001
102,24.0,120.0,S,0.2662625,0.10841079999999997,0.3746733
103,25.0,120.0,S,0.2575942,0.1086954,0.3662896
104,26.0,120.0,S,0.22372640000000002,0.09594129999999998,0.3196677
105,27.0,120.0,S,0.24241239999999997,0.08861730000000001,0.3310297
106,28.0,120.0,S,0.2698866,0.11393260000000005,0.3838192
107,29.0,120.0,S,0.2590307,0.10986789999999996,0.36889859999999997
108,30.0,120.0,S,0.2531698,0.10405540000000002,0.3572252
109,31.0,120.0,S,0.2336976,0.10605979999999998,0.3397574
110,32.0,120.0,S,0.24436190000000002,0.10876039999999998,0.3531223
111,33.0,120.0,S,0.22898139999999997,0.08922400000000005,0.3182054
112,34.0,120.0,S,0.23173890000000005,0.092724,0.32446290000000005
113,36.0,120.0,S,0.2440133,0.0937847,0.337798
114,37.0,120.0,S,0.20957179999999997,0.0820378,0.29160959999999997
115,38.0,120.0,S,0.22636910000000002,0.09463699999999994,0.32100609999999996
116,39.0,120.0,S,0.2639611,0.09895299999999996,0.36291409999999996
117,40.0,120.0,S,0.2573282,0.10580509999999999,0.3631333
118,1.0,80.0,M,0.5678506999999999,0.24244940000000004,0.8103001
119,2.0,80.0,M,0.5687035,0.22634569999999987,0.7950491999999999
120,3.0,80.0,M,0.5860084,0.25769070000000005,0.8436991
121,4.0,80.0,M,0.6151456999999999,0.28072010000000025,0.8958658000000002
122,5.0,80.0,M,0.5928309,0.25832619999999995,0.8511571
123,6.0,80.0,M,0.5709519000000001,0.24523149999999994,0.8161834
124,7.0,80.0,M,0.5201948000000001,0.2377692,0.7579640000000001
125,8.0,80.0,M,0.5387132,0.2269684999999999,0.7656816999999999
126,9.0,80.0,M,0.5427393,0.23328099999999996,0.7760203
127,10.0,80.0,M,0.4887452000000001,0.18087949999999986,0.6696247
128,11.0,80.0,M,0.4596262,0.17537179999999997,0.634998
129,12.0,80.0,M,0.48911099999999996,0.20979710000000007,0.6989081
130,13.0,80.0,M,0.5442583000000001,0.21760119999999994,0.7618595
131,14.0,80.0,M,0.4897001,0.21301869999999995,0.7027188
132,15.0,80.0,M,0.46558869999999997,0.16573099999999996,0.6313196999999999
133,16.0,80.0,M,0.5180371,0.2373482,0.7553853
134,17.0,80.0,M,0.4826937,0.23221119999999995,0.7149049
135,18.0,80.0,M,0.46424309999999996,0.20808259999999995,0.6723256999999999
136,19.0,80.0,M,0.45844309999999994,0.2118092000000001,0.6702523
137,20.0,80.0,M,0.48546629999999996,0.2087927,0.694259
138,21.0,80.0,M,0.348235,0.1257259,0.4739609
139,22.0,80.0,M,0.41558009999999995,0.17265609999999992,0.5882361999999999
140,23.0,80.0,M,0.4400444000000001,0.15327579999999985,0.5933202
141,24.0,80.0,M,0.4267118,0.16168820000000006,0.5884
142,25.0,80.0,M,0.39961840000000004,0.17214739999999995,0.5717658
143,26.0,80.0,M,0.43254549999999997,0.18418190000000007,0.6167274
144,27.0,80.0,M,0.43815299999999996,0.18277250000000006,0.6209255
145,28.0,80.0,M,0.4299324000000001,0.18841019999999986,0.6183426
146,29.0,80.0,M,0.40947649999999997,0.15658410000000006,0.5660606
147,30.0,80.0,M,0.4347239000000001,0.17124559999999983,0.6059694999999999
148,31.0,80.0,M,0.4136684000000001,0.15199119999999983,0.5656595999999999
149,32.0,80.0,M,0.4317982,0.19993739999999993,0.6317356
150,33.0,80.0,M,0.4243537,0.18320679999999995,0.6075605
151,34.0,80.0,M,0.47281660000000003,0.22409990000000002,0.6969165
152,35.0,80.0,M,0.42743159999999997,0.1576819000000001,0.5851135000000001
153,36.0,80.0,M,0.3830717,0.14039049999999997,0.5234622
154,37.0,80.0,M,0.412236,0.14874880000000007,0.5609848000000001
155,38.0,80.0,M,0.3994122000000001,0.18267879999999992,0.582091
156,39.0,80.0,M,0.40821440000000003,0.15033419999999992,0.5585486
157,40.0,80.0,M,0.3684962,0.14466099999999998,0.5131572
158,1.0,100.0,M,0.5619911999999999,0.23735610000000018,0.7993473000000001
159,2.0,100.0,M,0.4875067,0.1948511,0.6823578
160,3.0,100.0,M,0.48758409999999996,0.17076049999999998,0.6583446
161,4.0,100.0,M,0.5311724,0.27271369999999995,0.8038860999999999
162,5.0,100.0,M,0.4740082000000001,0.19048069999999995,0.6644889
163,6.0,100.0,M,0.47922829999999994,0.20227989999999996,0.6815081999999999
164,7.0,100.0,M,0.4912545,0.2099332,0.7011877
165,8.0,100.0,M,0.43952440000000004,0.18228849999999996,0.6218129
166,9.0,100.0,M,0.5054666,0.22043270000000004,0.7258993
167,10.0,100.0,M,0.48073599999999994,0.17758000000000007,0.658316
168,11.0,100.0,M,0.5038847,0.21646490000000007,0.7203496
169,12.0,100.0,M,0.4757548,0.20419989999999993,0.6799546999999999
170,13.0,100.0,M,0.46900299999999995,0.1802724,0.6492754
171,14.0,100.0,M,0.4282054,0.1826891,0.6108945
172,15.0,100.0,M,0.3698263,0.15582289999999993,0.5256491999999999
173,16.0,100.0,M,0.40823709999999996,0.15475470000000008,0.5629918
174,17.0,100.0,M,0.424505,0.17842019999999992,0.6029251999999999
175,18.0,100.0,M,0.4566849,0.16913800000000007,0.6258229000000001
176,19.0,100.0,M,0.443242,0.18822640000000002,0.6314684
177,20.0,100.0,M,0.380956,0.1580118000000001,0.5389678000000001
178,21.0,100.0,M,0.3187627,0.13379979999999997,0.4525625
179,22.0,100.0,M,0.3470625,0.16549149999999996,0.512554
180,23.0,100.0,M,0.41283240000000004,0.1884455,0.6012779
181,24.0,100.0,M,0.3629967,0.14823360000000002,0.5112303
182,25.0,100.0,M,0.3993255,0.18336219999999992,0.5826876999999999
183,26.0,100.0,M,0.4160571,0.18641230000000003,0.6024694
184,27.0,100.0,M,0.43484759999999995,0.1772394,0.6120869999999999
185,28.0,100.0,M,0.41270280000000004,0.15432750000000006,0.5670303000000001
186,29.0,100.0,M,0.41699780000000003,0.16542050000000003,0.5824183
187,30.0,100.0,M,0.4166282,0.18785589999999996,0.6044841
188,31.0,100.0,M,0.44607939999999996,0.19887190000000016,0.6449513000000001
189,32.0,100.0,M,0.37334359999999994,0.16848670000000016,0.5418303000000001
190,33.0,100.0,M,0.3549531,0.15140339999999997,0.5063565
191,34.0,100.0,M,0.38900300000000004,0.15545649999999994,0.5444595
192,35.0,100.0,M,0.39617379999999996,0.16367710000000008,0.5598509
193,36.0,100.0,M,0.3716308,0.15122379999999996,0.5228546
194,37.0,100.0,M,0.3219885,0.15604979999999996,0.47803829999999997
195,38.0,100.0,M,0.34187,0.14170429999999995,0.48357429999999996
196,39.0,100.0,M,0.3425887,0.15077059999999998,0.4933593
197,40.0,100.0,M,0.35184740000000003,0.1589174,0.5107648
198,1.0,120.0,M,0.4302647,0.19651989999999991,0.6267845999999999
199,2.0,120.0,M,0.40601859999999995,0.15349110000000005,0.5595097
200,3.0,120.0,M,0.38776940000000004,0.15891979999999994,0.5466892
201,4.0,120.0,M,0.462417,0.17094340000000002,0.6333604
202,5.0,120.0,M,0.40481490000000003,0.15025839999999996,0.5550733
203,6.0,120.0,M,0.37520180000000003,0.14407599999999998,0.5192778
204,7.0,120.0,M,0.4323174,0.16944579999999992,0.6017631999999999
205,8.0,120.0,M,0.4352838,0.19066679999999991,0.6259505999999999
206,9.0,120.0,M,0.4770720000000001,0.18302639999999998,0.6600984000000001
207,10.0,120.0,M,0.380796,0.15068290000000006,0.5314789000000001
208,11.0,120.0,M,0.4835157,0.19886199999999987,0.6823776999999999
209,12.0,120.0,M,0.4490773,0.18923239999999997,0.6383097
210,13.0,120.0,M,0.44779399999999997,0.18387360000000003,0.6316676
211,14.0,120.0,M,0.47166579999999997,0.17879720000000004,0.650463
212,15.0,120.0,M,0.43020879999999995,0.21374880000000007,0.6439576
213,16.0,120.0,M,0.4469687,0.18436989999999998,0.6313386
214,17.0,120.0,M,0.44632799999999995,0.20236710000000002,0.6486951
215,18.0,120.0,M,0.4337485,0.2043666999999999,0.6381151999999999
216,19.0,120.0,M,0.43482879999999996,0.1872626000000001,0.6220914000000001
217,20.0,120.0,M,0.42965859999999995,0.15410240000000003,0.583761
218,21.0,120.0,M,0.3656583,0.143169,0.5088273
219,22.0,120.0,M,0.33835149999999997,0.1392926,0.47764409999999996
220,23.0,120.0,M,0.36313609999999996,0.1400336000000001,0.5031697
221,24.0,120.0,M,0.3451941,0.13327290000000003,0.47846700000000003
222,25.0,120.0,M,0.3522031,0.1542517,0.5064548
223,26.0,120.0,M,0.3349554,0.13478779999999996,0.46974319999999997
224,27.0,120.0,M,0.2613377,0.09670080000000003,0.35803850000000004
225,28.0,120.0,M,0.3243052,0.12994779999999995,0.45425299999999996
226,29.0,120.0,M,0.3225292,0.12088300000000002,0.44341220000000003
227,30.0,120.0,M,0.3231413,0.1364924,0.45963370000000003
228,31.0,120.0,M,0.3682991,0.1214246,0.4897237
229,32.0,120.0,M,0.3355798,0.11392430000000003,0.4495041
230,33.0,120.0,M,0.35002890000000003,0.13273869999999993,0.48276759999999996
231,34.0,120.0,M,0.3196148,0.12151700000000004,0.4411318
232,35.0,120.0,M,0.339812,0.1101625,0.4499745
233,36.0,120.0,M,0.35601059999999995,0.11868270000000003,0.4746933
234,37.0,120.0,M,0.3584653,0.12785760000000002,0.4863229
235,38.0,120.0,M,0.3266768,0.13028190000000012,0.4569587000000001
236,39.0,120.0,M,0.2945123,0.10479579999999994,0.39930809999999994
237,40.0,120.0,M,0.3415762,0.14550170000000012,0.4870779000000001
238,1.0,80.0,L,0.6061356999999999,0.24796410000000002,0.8540998
239,2.0,80.0,L,0.6780973000000001,0.29045589999999977,0.9685531999999999
240,3.0,80.0,L,0.609226,0.3329029,0.9421289
241,4.0,80.0,L,0.6707585,0.3121481999999999,0.9829066999999999
242,5.0,80.0,L,0.6894422,0.3336348,1.023077
243,6.0,80.0,L,0.7318859999999999,0.3239170000000001,1.055803
244,7.0,80.0,L,0.6327364000000001,0.2912024,0.9239388000000001
245,8.0,80.0,L,0.6489319,0.3447101,0.993642
246,9.0,80.0,L,0.6424524,0.2671182,0.9095706
247,10.0,80.0,L,0.7176561,0.3197339,1.03739
248,11.0,80.0,L,0.7101135000000001,0.3498954999999999,1.060009
