,Trial,BPM,GestureSize,MedianVelocityRegionOne,MedianVelocityRegionTwo
160,3.0,100.0,M,1.9107880000000002,0.6650881999999999
161,4.0,100.0,M,2.2609980000000003,1.094905
162,5.0,100.0,M,1.533675,0.5277231
163,6.0,100.0,M,1.6922104999999998,0.8197946
164,7.0,100.0,M,1.602946,0.6966649999999999
165,8.0,100.0,M,1.531812,0.8080629
166,9.0,100.0,M,1.7434740000000002,1.0835191
167,10.0,100.0,M,1.6824065,0.7672545000000001
168,11.0,100.0,M,1.490112,0.9891361999999999
169,12.0,100.0,M,1.607008,0.96740955
170,13.0,100.0,M,1.647563,0.9850144000000001
171,14.0,100.0,M,1.2634105,0.91871575
172,15.0,100.0,M,1.420105,0.8825045
173,16.0,100.0,M,1.386624,0.5842282
174,17.0,100.0,M,1.571231,0.82924635
175,18.0,100.0,M,1.711641,0.9399056
176,19.0,100.0,M,1.3867015,0.7982818
177,20.0,100.0,M,1.6876685,0.8041931999999999
178,21.0,100.0,M,1.151512,0.646814
179,22.0,100.0,M,1.345815,0.4951076
180,23.0,100.0,M,1.330968,0.72330445
181,24.0,100.0,M,1.430548,0.8042169
182,25.0,100.0,M,1.264989,0.6692239999999999
183,26.0,100.0,M,0.948211,0.8241478000000001
184,27.0,100.0,M,1.323004,0.8938387999999999
185,28.0,100.0,M,1.4682959999999998,0.6211411
186,29.0,100.0,M,1.2957845,0.6681948
187,30.0,100.0,M,1.2681799999999999,0.6327394000000001
188,31.0,100.0,M,1.537919,0.6319615
189,32.0,100.0,M,1.3790865,0.6103331999999999
190,33.0,100.0,M,1.110676,0.70956655
191,34.0,100.0,M,1.166463,0.9054895000000001
192,35.0,100.0,M,1.3046360000000001,0.78262275
193,36.0,100.0,M,1.1766969999999999,0.7518969499999999
194,37.0,100.0,M,1.181327,0.6035057500000001
195,38.0,100.0,M,1.114372,0.6986154
196,39.0,100.0,M,1.172336,0.7683349500000001
197,40.0,100.0,M,1.154311,0.67995925
198,1.0,120.0,M,1.8042145,0.85870275
199,2.0,120.0,M,1.889386,0.4697326
200,3.0,120.0,M,1.427979,0.65137115
201,4.0,120.0,M,1.53795,0.5579967
202,5.0,120.0,M,1.482346,0.7078015000000001
203,6.0,120.0,M,1.421475,0.7221859
204,7.0,120.0,M,1.740386,0.77184845
205,8.0,120.0,M,1.5446364999999997,1.062293
206,9.0,120.0,M,1.6901275,0.6158670999999999
207,10.0,120.0,M,1.511631,0.9852467
208,11.0,120.0,M,1.663446,0.7879885999999999
209,12.0,120.0,M,1.9146165000000002,0.7518958
210,13.0,120.0,M,1.795147,1.053277
211,14.0,120.0,M,1.9353159999999998,0.9484007
212,15.0,120.0,M,1.7840405000000001,1.067792
213,16.0,120.0,M,1.592984,0.8905921
214,17.0,120.0,M,1.884153,0.6589668000000001
215,18.0,120.0,M,1.8077259999999997,0.9070553
216,19.0,120.0,M,1.69417,1.0246304
217,20.0,120.0,M,1.574946,0.7249204
218,21.0,120.0,M,1.3081749999999999,0.5204641999999999
219,22.0,120.0,M,1.3939620000000001,0.79475915
220,23.0,120.0,M,1.377381,0.7016861000000001
221,24.0,120.0,M,1.11871835,0.727589
222,25.0,120.0,M,1.2389645,0.5078299000000001
223,26.0,120.0,M,1.549566,0.8018894
224,27.0,120.0,M,1.0557809999999999,0.4777848
225,28.0,120.0,M,1.2004059999999999,0.7614379499999999
226,29.0,120.0,M,1.301397,0.6520608
227,30.0,120.0,M,1.2122915,0.7004642
228,31.0,120.0,M,1.31575,0.6698472
229,32.0,120.0,M,1.493435,0.6695455
230,33.0,120.0,M,1.34308,0.6264833
231,34.0,120.0,M,1.212375,0.5455730999999999
232,35.0,120.0,M,1.203337,0.59901565
233,36.0,120.0,M,1.3173180000000002,0.6244028500000001
234,37.0,120.0,M,1.4749615,0.7429765499999998
235,38.0,120.0,M,1.090659,0.629185
236,39.0,120.0,M,1.395232,0.66830185
237,40.0,120.0,M,1.377838,0.96521
238,1.0,80.0,L,1.877318,0.9126573499999999
239,2.0,80.0,L,2.071097,1.021829
240,3.0,80.0,L,1.938015,0.9105489499999999
241,4.0,80.0,L,1.734114,0.9133478
242,5.0,80.0,L,1.6975740000000001,0.9307303
243,6.0,80.0,L,1.842811,1.0006906500000001
244,7.0,80.0,L,1.592335,0.83965225
245,8.0,80.0,L,2.062648,0.8688449
246,9.0,80.0,L,1.6884150000000002,0.8553026
247,10.0,80.0,L,1.8968330000000002,0.8789572000000001
248,11.0,80.0,L,2.200054,0.9236619
249,12.0,80.0,L,1.9195115,1.004939
250,13.0,80.0,L,2.073662,1.049484
251,14.0,80.0,L,2.07756,0.94955675
252,15.0,80.0,L,2.326848,0.9866443000000001
253,16.0,80.0,L,2.498822,1.1640110000000001
254,17.0,80.0,L,1.903171,1.0580129999999999
255,18.0,80.0,L,1.829553,0.93370865
256,19.0,80.0,L,1.7768495,0.9600122999999999
257,20.0,80.0,L,2.277576,0.99828695
258,21.0,80.0,L,1.667531,1.047675
259,22.0,80.0,L,2.1566739999999998,0.8945228999999999
260,23.0,80.0,L,1.831668,0.8192495000000001
261,24.0,80.0,L,1.7146830000000002,1.06445
262,25.0,80.0,L,2.1744305,1.02048465
263,26.0,80.0,L,2.059368,0.77669615
264,27.0,80.0,L,1.8173380000000001,0.7957632
265,28.0,80.0,L,1.637205,0.9775128000000001
266,29.0,80.0,L,1.8251415,0.9802276999999999
267,30.0,80.0,L,1.450849,1.1540700000000002
268,31.0,80.0,L,1.8919119999999998,0.7431687
269,32.0,80.0,L,1.698853,0.68307225
270,33.0,80.0,L,1.8185639999999998,0.7728024
271,34.0,80.0,L,1.946693,0.9640360000000001
272,35.0,80.0,L,1.9517579999999999,0.6306345
273,36.0,80.0,L,1.749416,0.8645911500000001
274,37.0,80.0,L,1.938847,0.9524547000000001
275,38.0,80.0,L,1.8907490000000002,1.02475455
276,39.0,80.0,L,1.8176849999999998,0.81702325
277,40.0,80.0,L,1.9646305000000002,0.9185627000000001
278,1.0,100.0,L,2.234411,0.8379976
279,2.0,100.0,L,2.233089,1.1284239999999999
280,3.0,100.0,L,2.396154,0.9511391
281,4.0,100.0,L,1.9669919999999999,0.98137615
282,5.0,100.0,L,2.255033,0.89850125
283,6.0,100.0,L,2.601692,1.27478
284,7.0,100.0,L,2.3753985,0.8993631
285,8.0,100.0,L,2.896743,0.8683298
286,9.0,100.0,L,2.492872,1.0935454500000001
287,10.0,100.0,L,2.460093,1.0752769999999998
288,11.0,100.0,L,2.5706555,1.033325
289,12.0,100.0,L,2.0998099999999997,1.139457
290,13.0,100.0,L,2.454053,1.03154515
291,14.0,100.0,L,2.43725,1.144609
292,15.0,100.0,L,2.389508,0.7756945
293,16.0,100.0,L,2.420175,1.00477245
294,17.0,100.0,L,2.3905925,1.367665
295,18.0,100.0,L,2.361663,1.105341
296,19.0,100.0,L,2.049538,0.8969424000000001
297,20.0,100.0,L,2.238407,0.9013879000000001
298,21.0,100.0,L,1.698162,0.90957855
299,22.0,100.0,L,1.7791815,0.8076865
300,23.0,100.0,L,1.7728389999999998,0.6362468000000001
301,24.0,100.0,L,1.575315,1.0517546
302,25.0,100.0,L,1.680506,0.76967775
303,26.0,100.0,L,1.7378635,0.9354346
304,27.0,100.0,L,1.7749419999999998,0.8742584999999999
305,28.0,100.0,L,1.632243,0.5864501
306,29.0,100.0,L,1.602826,0.8544356
307,30.0,100.0,L,1.550662,0.741312
308,31.0,100.0,L,1.4846620000000001,0.8159257
309,32.0,100.0,L,1.7892185,1.078785
310,33.0,100.0,L,1.446581,0.5540248000000001
311,34.0,100.0,L,1.3322615,0.97479265
312,35.0,100.0,L,1.499347,0.74132815
313,36.0,100.0,L,1.597858,0.9499997
314,37.0,100.0,L,1.703468,0.8577870999999999
315,38.0,100.0,L,1.429836,0.4682675
316,39.0,100.0,L,1.55613,0.93724955
317,40.0,100.0,L,1.521963,0.7264518499999999
318,1.0,120.0,L,2.4686615,1.5087700000000002
319,2.0,120.0,L,2.685107,1.0964315
320,3.0,120.0,L,2.7616445,0.9950631
321,4.0,120.0,L,2.777913,1.177097
322,5.0,120.0,L,2.3802220000000003,0.8213234500000001
323,6.0,120.0,L,2.719576,1.267136
324,7.0,120.0,L,2.3892785,1.1381655
325,8.0,120.0,L,2.762471,1.3160530000000001
326,9.0,120.0,L,2.3788240000000003,1.1959879999999998
327,10.0,120.0,L,2.0150349999999997,0.9552256499999999
328,11.0,120.0,L,2.020251,0.6504415
329,12.0,120.0,L,2.4963889999999997,1.139467
330,13.0,120.0,L,2.335086,1.159936
331,14.0,120.0,L,2.428925,1.177449
332,15.0,120.0,L,2.46128,1.0088609
333,16.0,120.0,L,2.0837765,0.7398018
334,17.0,120.0,L,2.379578,1.2217989999999999
335,18.0,120.0,L,2.260694,0.975611
336,19.0,120.0,L,2.3322205,0.9221424000000001
337,20.0,120.0,L,2.400057,1.222888
338,21.0,120.0,L,1.6667074999999998,0.9081358500000001
339,22.0,120.0,L,1.5220259999999999,0.6212674
340,23.0,120.0,L,1.8810435,0.69409805
341,24.0,120.0,L,2.021903,0.8027783500000001
342,25.0,120.0,L,1.7867675000000003,0.9002114999999999
343,26.0,120.0,L,1.75294,1.118226
344,27.0,120.0,L,1.6944485,0.8688434000000002
345,28.0,120.0,L,2.037897,1.1282705
346,29.0,120.0,L,1.8384099999999999,1.0505309999999999
347,30.0,120.0,L,1.9321294999999998,0.7084451
348,31.0,120.0,L,2.009338,0.6667115000000001
349,32.0,120.0,L,1.741141,1.1081946999999999
350,33.0,120.0,L,1.9743650000000001,0.756269
351,34.0,120.0,L,2.204129,0.8931496999999999
352,35.0,120.0,L,2.3045619999999998,0.9358031
353,36.0,120.0,L,1.750795,0.9367146999999999
354,37.0,120.0,L,1.814318,1.0163506
355,38.0,120.0,L,1.6402855,0.9738077999999999
356,39.0,120.0,L,1.8123619999999998,0.6292492
357,40.0,120.0,L,1.8007950000000001,0.9152800999999999
