,Trial,BPM,GestureSize,MinAngleRegionTwo
0,1.0,80.0,S,67.03144
1,2.0,80.0,S,66.94464
2,3.0,80.0,S,61.58102
3,4.0,80.0,S,75.72021
4,5.0,80.0,S,65.42288
5,6.0,80.0,S,63.35981
6,7.0,80.0,S,69.6646
7,8.0,80.0,S,64.22867
8,9.0,80.0,S,65.47829
9,10.0,80.0,S,66.58221999999999
10,11.0,80.0,S,66.22965
11,12.0,80.0,S,67.51099
12,13.0,80.0,S,66.45079
13,14.0,80.0,S,63.18864
14,15.0,80.0,S,70.41301999999997
15,16.0,80.0,S,75.31829
16,17.0,80.0,S,69.06057
17,18.0,80.0,S,68.8336
18,19.0,80.0,S,71.93191999999998
19,20.0,80.0,S,65.53856
20,21.0,80.0,S,69.21736999999999
21,22.0,80.0,S,70.8541
22,23.0,80.0,S,77.70767
23,24.0,80.0,S,79.60388
24,25.0,80.0,S,73.6918
25,26.0,80.0,S,67.5313
26,27.0,80.0,S,78.15295
27,28.0,80.0,S,75.85452
28,29.0,80.0,S,71.96552
29,30.0,80.0,S,68.49441
30,31.0,80.0,S,75.37826
31,32.0,80.0,S,76.44333
32,33.0,80.0,S,74.44161
33,34.0,80.0,S,70.77595
34,35.0,80.0,S,70.3477
35,36.0,80.0,S,63.97155
36,37.0,80.0,S,70.21124
37,38.0,80.0,S,78.12387
38,39.0,80.0,S,71.69699
39,40.0,80.0,S,76.11907
40,1.0,100.0,S,68.70116999999999
41,2.0,100.0,S,61.77036999999999
42,3.0,100.0,S,71.91444
43,4.0,100.0,S,-999.0
44,5.0,100.0,S,58.51601
45,6.0,100.0,S,76.37482
46,7.0,100.0,S,69.94771999999999
47,8.0,100.0,S,68.22424000000001
48,9.0,100.0,S,69.65899999999999
49,10.0,100.0,S,67.93449
50,11.0,100.0,S,67.83936
51,12.0,100.0,S,73.29916
52,13.0,100.0,S,79.18165
53,14.0,100.0,S,70.18890999999999
54,15.0,100.0,S,76.99467
55,16.0,100.0,S,78.00248
56,17.0,100.0,S,83.43513
57,18.0,100.0,S,78.44798
58,19.0,100.0,S,77.09744
59,20.0,100.0,S,80.01696
60,21.0,100.0,S,75.23177
61,22.0,100.0,S,80.68288000000003
62,23.0,100.0,S,71.81837
63,24.0,100.0,S,74.75388000000002
64,25.0,100.0,S,73.14621
65,26.0,100.0,S,74.05019
66,27.0,100.0,S,76.39263000000003
67,28.0,100.0,S,76.57918000000002
68,29.0,100.0,S,74.12854
69,30.0,100.0,S,70.09406
70,31.0,100.0,S,71.72977
71,32.0,100.0,S,70.02271999999999
72,33.0,100.0,S,70.63127
73,34.0,100.0,S,79.05025
74,35.0,100.0,S,77.78407
75,36.0,100.0,S,79.87814
76,37.0,100.0,S,82.57874
77,38.0,100.0,S,74.93916
78,39.0,100.0,S,77.53394
79,40.0,100.0,S,81.8467
80,1.0,120.0,S,78.63725
81,2.0,120.0,S,75.7366
82,3.0,120.0,S,74.75714
83,4.0,120.0,S,78.24557
84,5.0,120.0,S,69.31594
85,6.0,120.0,S,79.02769
86,7.0,120.0,S,69.43353
87,8.0,120.0,S,75.09081
88,9.0,120.0,S,68.70662
89,10.0,120.0,S,79.18681
90,11.0,120.0,S,64.37508000000001
91,12.0,120.0,S,77.14397
92,13.0,120.0,S,78.73040999999998
93,14.0,120.0,S,67.72166999999999
94,15.0,120.0,S,81.24209
95,16.0,120.0,S,76.05096
96,17.0,120.0,S,75.11929
97,18.0,120.0,S,70.63896
98,19.0,120.0,S,71.71633
99,20.0,120.0,S,68.80757
100,21.0,120.0,S,75.30478000000002
101,22.0,120.0,S,77.71311
102,23.0,120.0,S,70.6443
103,24.0,120.0,S,76.56895
104,25.0,120.0,S,76.43467
105,26.0,120.0,S,79.4397
106,27.0,120.0,S,79.90923000000002
107,28.0,120.0,S,75.98115
108,29.0,120.0,S,78.56223
109,30.0,120.0,S,78.33184
110,31.0,120.0,S,78.85611999999998
111,32.0,120.0,S,83.58117
112,33.0,120.0,S,72.33744
113,34.0,120.0,S,82.17014
114,35.0,120.0,S,-999.0
115,36.0,120.0,S,75.27932
116,37.0,120.0,S,83.45753
117,38.0,120.0,S,73.76089
118,39.0,120.0,S,79.7296
119,40.0,120.0,S,73.9318
120,1.0,80.0,M,75.7429
121,2.0,80.0,M,78.76313
122,3.0,80.0,M,73.46665
123,4.0,80.0,M,75.38135
124,5.0,80.0,M,73.46751
125,6.0,80.0,M,76.05544
126,7.0,80.0,M,72.83569
127,8.0,80.0,M,79.10823
128,9.0,80.0,M,76.48003
129,10.0,80.0,M,72.63747
130,11.0,80.0,M,74.35486999999998
131,12.0,80.0,M,77.02264
132,13.0,80.0,M,76.07066999999998
133,14.0,80.0,M,75.0751
134,15.0,80.0,M,74.19283
135,16.0,80.0,M,80.39618
136,17.0,80.0,M,67.80269
137,18.0,80.0,M,69.55224
138,19.0,80.0,M,75.86279
139,20.0,80.0,M,73.65035
140,21.0,80.0,M,65.6917
141,22.0,80.0,M,78.40454
142,23.0,80.0,M,69.7262
143,24.0,80.0,M,72.18726
144,25.0,80.0,M,73.99306
145,26.0,80.0,M,69.10498
146,27.0,80.0,M,68.11997
147,28.0,80.0,M,74.68401
148,29.0,80.0,M,69.52676
149,30.0,80.0,M,73.64994
150,31.0,80.0,M,79.50644
151,32.0,80.0,M,66.83475
152,33.0,80.0,M,71.96252
153,34.0,80.0,M,73.76158000000002
154,35.0,80.0,M,74.88943
155,36.0,80.0,M,70.08941999999999
156,37.0,80.0,M,73.44978
157,38.0,80.0,M,74.83317
