,Trial,BPM,GestureSize,MedianVelocityRegionOne,MedianVelocityRegionTwo,MeanVelocityRegionOne,MeanVelocityRegionTwo
0,1.0,80.0,S,1.0805,0.6071095999999999,0.9796649533333336,0.5777103487499999
1,2.0,80.0,S,0.9591283000000002,0.5662216999999999,0.8636201062500001,0.49306297111111114
2,3.0,80.0,S,1.0775208,0.6532759000000001,1.003820125,0.576459255
3,4.0,80.0,S,1.1405835,0.5097696,0.9879920285714284,0.5633312444444444
4,5.0,80.0,S,1.131928,0.5307626,1.0024719933333333,0.5881671188888888
5,6.0,80.0,S,1.0545716,0.6468519,1.0359952562499999,0.62474743
6,7.0,80.0,S,1.065533,0.686721,1.0867517933333335,0.6394606666666667
7,8.0,80.0,S,1.1420815000000002,0.6843935,1.1312376142857143,0.6721862355555556
8,9.0,80.0,S,1.2815729999999999,0.7263056999999999,1.2536167,0.7003375900000001
9,10.0,80.0,S,1.253284,0.6060726,1.1394489529411767,0.645560293
10,11.0,80.0,S,1.2042549999999999,0.52884735,1.0776497200000001,0.562841435
11,12.0,80.0,S,1.139921,0.4980633,1.1022238384615386,0.5724125625
12,13.0,80.0,S,0.9949524,0.6997072,0.9373335466666665,0.658693275
13,14.0,80.0,S,0.8666347,0.6466115,0.8289583250000002,0.5870170666666668
14,15.0,80.0,S,1.06132895,0.5913139000000001,0.9510447357142857,0.59412754
15,16.0,80.0,S,1.031303,0.6231211,0.9979647333333336,0.6565907222222224
16,17.0,80.0,S,0.92155565,0.6301475000000001,0.8807035875000001,0.5991545888888888
17,18.0,80.0,S,0.9958509499999999,0.6316029000000001,0.965160075,0.5479687977777777
18,19.0,80.0,S,0.9501287,0.5971661,0.9066671214285716,0.5404091222222223
19,20.0,80.0,S,0.95206215,0.5374291500000001,0.9045659125000003,0.552724714
20,21.0,80.0,S,0.9772663,0.3971671,0.9902669461538464,0.5007974857142857
21,22.0,80.0,S,1.0022950000000002,0.4968399000000001,0.930688853846154,0.515342755
22,23.0,80.0,S,1.00347,0.5315455,0.9462168749999997,0.5211625375
23,24.0,80.0,S,0.9666600000000001,0.6823357,0.8854758923076922,0.5979867
24,25.0,80.0,S,0.9864243,0.604889,0.8647141153846154,0.5046596571428571
25,26.0,80.0,S,0.9240062,0.45295270000000004,0.9533926307692309,0.5073857375
26,27.0,80.0,S,1.131369,0.6330835,0.9930284615384615,0.595520375
27,28.0,80.0,S,0.9179787000000001,0.4420786,0.9298118583333334,0.5351949
28,29.0,80.0,S,0.73262585,0.49724120000000005,0.7480331499999999,0.5350226666666666
29,30.0,80.0,S,0.8361951999999999,0.47428370000000003,0.8806526692307693,0.5088491666666667
30,31.0,80.0,S,0.7943633000000001,0.47638459999999994,0.771509975,0.3993551428571428
31,32.0,80.0,S,0.9220047,0.5798736,0.7882606357142857,0.5001220142857143
32,33.0,80.0,S,0.9515731,0.6180365,0.8268059249999999,0.5119137514285714
33,34.0,80.0,S,0.9198120000000001,0.6403205999999999,0.8945468083333332,0.5723571375
34,35.0,80.0,S,0.99648995,0.7081435,0.9491954333333333,0.6090668800000001
35,36.0,80.0,S,0.9429286,0.5690156999999999,0.9342176461538462,0.5777346000000001
36,37.0,80.0,S,0.8890099,0.4672971,0.9195590692307692,0.504960225
37,38.0,80.0,S,0.9762521000000001,0.6186359499999999,0.9142654727272728,0.5389029999999999
38,39.0,80.0,S,1.0045110000000002,0.49438580000000004,0.8535831384615383,0.48095818749999997
39,40.0,80.0,S,1.04361,0.5168369,0.9127901727272728,0.4757051816666667
40,1.0,100.0,S,1.1338270000000001,0.40120459999999997,1.1596006769230771,0.5519326714285714
41,2.0,100.0,S,1.25128,0.5480163,1.1960141142857144,0.6374024222222222
42,3.0,100.0,S,1.3015845000000001,0.6751845999999999,1.2728712000000002,0.6730555333333332
43,5.0,100.0,S,1.3972069999999999,0.6786937000000001,1.2945136307692306,0.6925804875000001
44,6.0,100.0,S,1.380235,0.7453701,1.3417065285714285,0.8136993
45,7.0,100.0,S,1.5046815,0.8350224,1.4762647333333332,0.74942613
46,8.0,100.0,S,1.441802,0.5164809,1.4284289499999998,0.6414309625
47,9.0,100.0,S,1.4104709999999998,0.7857956,1.3059102384615382,0.7504039650000001
48,10.0,100.0,S,1.422995,0.5760679,1.2966007461538462,0.58749628
49,11.0,100.0,S,1.3997110000000001,0.5706515,1.3499361999999997,0.6475663625000001
50,12.0,100.0,S,1.200952,0.5518111,1.1715714153846155,0.6233661125
51,13.0,100.0,S,1.112774,0.7569296,1.0652779833333335,0.6235508457142858
52,14.0,100.0,S,1.1441139999999999,0.7871361,1.1030032357142856,0.6765062857142857
53,15.0,100.0,S,0.977424,0.37990240000000003,0.9699603000000001,0.44282835
54,16.0,100.0,S,1.095905,0.6005189999999999,0.9947721307692308,0.52873898
55,17.0,100.0,S,1.113708,0.6722913,1.0616684166666668,0.6009670500000001
56,18.0,100.0,S,0.9086254,0.6878738,0.9516235833333333,0.5832668571428572
57,19.0,100.0,S,1.0313290000000002,0.5911021,1.0197005909090908,0.5589791000000001
58,20.0,100.0,S,1.08112,0.6604229,1.0548394333333333,0.5896539733333334
59,21.0,100.0,S,0.7052208999999999,0.336501,0.7330553636363636,0.3883628142857143
60,22.0,100.0,S,0.8468897500000001,0.47178380000000003,0.8237845500000001,0.43400149125000004
61,23.0,100.0,S,0.9069993000000001,0.34375009999999995,0.8112314923076922,0.42179545888888886
62,24.0,100.0,S,0.9925381999999999,0.5323512,0.8645512833333333,0.45729488285714287
63,25.0,100.0,S,0.8442519500000001,0.569933,0.7736447750000001,0.4992305714285714
64,26.0,100.0,S,0.9276131000000001,0.52397285,0.8866279833333334,0.46590800875
65,27.0,100.0,S,0.9895103999999999,0.6269604,0.8749016749999999,0.5240622557142858
66,28.0,100.0,S,0.9695351,0.58985515,0.9382434928571427,0.5719888375
67,29.0,100.0,S,0.9104426999999999,0.4337066,0.8722208272727272,0.4488203785714286
68,30.0,100.0,S,0.7283891,0.43766700000000003,0.6795971166666668,0.38067850999999997
69,31.0,100.0,S,0.80371,0.5113807,0.8041490538461539,0.4723243428571429
70,32.0,100.0,S,0.7778146,0.458667,0.6796819923076924,0.40024207142857143
71,33.0,100.0,S,0.8062486,0.69098225,0.7604087071428571,0.6170834
72,34.0,100.0,S,0.8157076999999999,0.3935735,0.7534962846153845,0.40779596500000004
73,35.0,100.0,S,0.8228804,0.558619,0.7688816615384616,0.4875234600000001
74,36.0,100.0,S,0.7616118999999999,0.37162629999999996,0.7897347249999999,0.47071918571428567
75,37.0,100.0,S,0.9317996,0.4977809,0.9214253090909093,0.4555872
76,38.0,100.0,S,0.7770990500000001,0.4896228,0.7796367833333334,0.5081325228571429
77,39.0,100.0,S,0.7565200999999999,0.4232925500000001,0.7447548083333334,0.43080749125000006
78,40.0,100.0,S,0.7883017,0.4860816,0.7930040333333334,0.4065639142857143
79,1.0,120.0,S,0.9756096500000001,0.5087696,0.91286807,0.46223522
80,2.0,120.0,S,0.9880284500000001,0.44489455,0.92475947,0.46197515000000006
81,3.0,120.0,S,1.07612,0.3583005,0.9967538333333334,0.431767115
82,4.0,120.0,S,1.063805,0.54507795,0.9700314222222222,0.49090455000000005
83,5.0,120.0,S,1.039012,0.5814286999999999,0.9534568111111111,0.49165262
84,6.0,120.0,S,0.9445316999999999,0.5654929,0.8755159272727273,0.54095335
85,7.0,120.0,S,1.189619,0.5107484999999999,1.1175378,0.5649820814285714
86,8.0,120.0,S,1.004237,0.65629645,1.080579590909091,0.5854939166666667
87,9.0,120.0,S,0.9929137499999999,0.6553034000000001,0.9435591600000001,0.58248146
88,10.0,120.0,S,1.1953745,0.6986829000000001,1.1687124299999998,0.6105410714285714
89,11.0,120.0,S,0.92505315,0.5654798000000001,0.9298035833333332,0.49776505857142866
90,12.0,120.0,S,1.117843,0.3868781,1.0799631,0.5007768714285714
91,13.0,120.0,S,1.1889,0.48953725000000003,1.14772923,0.5661130333333334
92,14.0,120.0,S,1.073796,0.4284482,1.0458014538461538,0.4719144
93,15.0,120.0,S,1.1697739999999999,0.7847656000000001,1.1490773083333334,0.7037349333333333
94,16.0,120.0,S,1.319232,0.6549635,1.2864420222222224,0.6548678
95,17.0,120.0,S,1.166526,0.4011267,1.1460651833333335,0.5645121714285714
96,18.0,120.0,S,1.218995,0.5368378,1.1759631615384616,0.60808535
97,19.0,120.0,S,1.4218879999999998,0.45952655,1.3889385545454542,0.5542173
98,20.0,120.0,S,1.2528015,0.66064455,1.248609466666667,0.7149433999999999
99,21.0,120.0,S,0.9650395,0.5974503000000001,0.8520786333333333,0.5007079285714287
100,22.0,120.0,S,1.0316405499999999,0.3857142,1.0091553583333333,0.4835796857142857
101,23.0,120.0,S,0.9348635999999999,0.5303339,0.9505805083333333,0.5385609625000001
102,24.0,120.0,S,0.9998538,0.3791509,0.912009690909091,0.4682160142857143
103,25.0,120.0,S,1.07599625,0.50686635,1.01475324,0.46104325124999995
104,26.0,120.0,S,1.0888790000000002,0.6415571,0.9466518777777778,0.5465194333333333
105,27.0,120.0,S,1.0188045000000001,0.40749899999999994,1.00801228,0.44525996166666665
106,28.0,120.0,S,0.9655677,0.5016872,0.9214636083333333,0.49650590888888896
107,29.0,120.0,S,0.9965050999999999,0.5984254,0.9350944636363636,0.5282800142857144
108,30.0,120.0,S,0.91170785,0.4135297000000001,0.8776526333333335,0.4673535685714286
109,31.0,120.0,S,1.0537,0.5296418,1.0393069444444445,0.49119884142857145
110,32.0,120.0,S,1.198243,0.6165347,1.093219311111111,0.5889298
111,33.0,120.0,S,1.00760505,0.50272615,0.96224099,0.4396645516666666
112,34.0,120.0,S,1.1204085,0.5497999,0.9415602399999999,0.50950304
113,36.0,120.0,S,0.9026034000000001,0.4167338,0.8448135833333333,0.41863683857142864
114,37.0,120.0,S,1.0064516000000001,0.5630834,1.0177402125,0.50735462
115,38.0,120.0,S,0.9839976500000001,0.66505295,0.8969161000000001,0.5663221333333334
116,39.0,120.0,S,0.9430405000000001,0.6330563499999999,0.8852218,0.5479819383333333
117,40.0,120.0,S,1.05178,0.5290023500000001,0.9419732090909093,0.5030187
118,1.0,80.0,M,1.9186234999999998,0.9516099500000001,1.7627640857142854,0.8990073000000001
119,2.0,80.0,M,1.884418,0.7696703,1.6766631933333331,0.7971290218181818
120,3.0,80.0,M,1.812049,0.9080191,1.8337600357142858,0.924314213
121,4.0,80.0,M,1.9894330000000002,0.8553546999999999,2.0486662307692307,0.891814509090909
122,5.0,80.0,M,1.923927,0.9745889000000001,1.9533823846153848,0.9076982372727272
123,6.0,80.0,M,1.817969,0.821385,1.7994172142857146,0.8325265754545454
124,7.0,80.0,M,1.557552,0.7654158000000001,1.4332333937500004,0.8381052972727274
125,8.0,80.0,M,1.6392875,0.89828215,1.6956141428571427,0.85286185
126,9.0,80.0,M,1.486451,0.85841325,1.6147069133333334,0.8459036099999999
127,10.0,80.0,M,1.316911,0.8461083,1.3626217612499996,0.8049291625
128,11.0,80.0,M,1.302243,0.7910054,1.3765286666666667,0.751640525
129,12.0,80.0,M,1.466736,0.7911675,1.32598301875,0.816553566
130,13.0,80.0,M,1.5775059999999999,0.8236357,1.6226077533333332,0.8573414666666667
131,14.0,80.0,M,1.595175,0.7347186,1.4556610133333334,0.7336419545454546
132,15.0,80.0,M,1.288656,0.80610045,1.29089723125,0.725262905
133,16.0,80.0,M,1.482609,0.7520185,1.4578749500000001,0.7892991818181819
134,17.0,80.0,M,1.4891904999999999,0.7558208000000001,1.5059975785714284,0.7393031416666668
135,18.0,80.0,M,1.345121,0.7022188,1.3578645066666672,0.7391013754545455
136,19.0,80.0,M,1.5940725,0.6992602,1.4827382357142855,0.7189589827272727
137,20.0,80.0,M,1.1883780000000002,0.6988282,1.2971389882352942,0.7302500030000001
138,21.0,80.0,M,1.237755,0.41968829999999996,1.1290909,0.49633188125000005
139,22.0,80.0,M,1.41606,0.7407986999999999,1.3375597928571428,0.70918278125
140,23.0,80.0,M,1.284532,0.845392,1.3224694399999999,0.7682045142857145
141,24.0,80.0,M,1.310876,0.7101613,1.2697889266666667,0.6670449112500001
142,25.0,80.0,M,1.479982,0.6895544,1.2967558615384613,0.6782263500000001
143,26.0,80.0,M,1.40723,0.8450751,1.4411323692307694,0.8042332
144,27.0,80.0,M,1.571968,0.9111068000000001,1.55442475,0.8145938822222223
145,28.0,80.0,M,1.4593600000000002,0.4619604000000001,1.3076834285714287,0.6618018666666666
146,29.0,80.0,M,1.53505,0.5817468000000001,1.3228055384615387,0.60855534125
147,30.0,80.0,M,1.354925,0.9500363000000002,1.3396558357142856,0.8270959571428572
148,31.0,80.0,M,1.5138655,0.7712386,1.4763866749999996,0.6628223428571428
149,32.0,80.0,M,1.574106,0.6754433,1.3891281307692305,0.787538175
150,33.0,80.0,M,1.5263665,0.8931733000000001,1.5118851666666666,0.8039800033333333
151,34.0,80.0,M,1.632254,0.6773986,1.5953622307692308,0.8264119488888889
152,35.0,80.0,M,1.32756,0.8475251,1.3629203,0.7809339714285715
153,36.0,80.0,M,1.351609,0.509332,1.3104701384615385,0.6037416428571429
154,37.0,80.0,M,1.265185,0.4931985,1.2953688499999998,0.6545417571428571
155,38.0,80.0,M,1.2703955,0.8639064,1.2732354785714288,0.7711850299999999
156,39.0,80.0,M,1.29934,0.8339339,1.1878326733333333,0.6924500814285715
