,BPM,GestureSize,TotalDistanceCoveredInRegionOne,Trial
150,80.0,M,0.4136684000000001,31.0
151,80.0,M,0.4317982,32.0
152,80.0,M,0.4243537,33.0
153,80.0,M,0.4728166,34.0
154,80.0,M,0.4274316,35.0
155,80.0,M,0.3830717,36.0
156,80.0,M,0.412236,37.0
157,80.0,M,0.3994122000000001,38.0
158,80.0,M,0.4082144,39.0
159,80.0,M,0.3684962,40.0
160,100.0,M,0.5619911999999999,1.0
161,100.0,M,0.4875067,2.0
162,100.0,M,0.4875841,3.0
163,100.0,M,0.5311724,4.0
164,100.0,M,0.4740082000000001,5.0
165,100.0,M,0.4792283,6.0
166,100.0,M,0.4912545,7.0
167,100.0,M,0.4395244,8.0
168,100.0,M,0.5054666,9.0
169,100.0,M,0.480736,10.0
170,100.0,M,0.5038847,11.0
171,100.0,M,0.4757548,12.0
172,100.0,M,0.469003,13.0
173,100.0,M,0.4282054,14.0
174,100.0,M,0.3698263,15.0
175,100.0,M,0.4082371,16.0
176,100.0,M,0.424505,17.0
177,100.0,M,0.4566849,18.0
178,100.0,M,0.443242,19.0
179,100.0,M,0.380956,20.0
180,100.0,M,0.3187627,21.0
181,100.0,M,0.3470625,22.0
182,100.0,M,0.4128324,23.0
183,100.0,M,0.3629967,24.0
184,100.0,M,0.3993255,25.0
185,100.0,M,0.4160571,26.0
186,100.0,M,0.4348476,27.0
187,100.0,M,0.4127028,28.0
188,100.0,M,0.4169978,29.0
189,100.0,M,0.4166282,30.0
190,100.0,M,0.4460794,31.0
191,100.0,M,0.3733436,32.0
192,100.0,M,0.3549531,33.0
193,100.0,M,0.389003,34.0
194,100.0,M,0.3961738,35.0
195,100.0,M,0.3716308,36.0
196,100.0,M,0.3219885,37.0
197,100.0,M,0.34187,38.0
198,100.0,M,0.3425887,39.0
199,100.0,M,0.35184740000000003,40.0
200,120.0,M,0.4302647,1.0
201,120.0,M,0.4060186,2.0
202,120.0,M,0.3877694,3.0
203,120.0,M,0.462417,4.0
204,120.0,M,0.4048149,5.0
205,120.0,M,0.3752018,6.0
206,120.0,M,0.4323174,7.0
207,120.0,M,0.4352838,8.0
208,120.0,M,0.4770720000000001,9.0
209,120.0,M,0.380796,10.0
210,120.0,M,0.4835157,11.0
211,120.0,M,0.4490773,12.0
212,120.0,M,0.447794,13.0
213,120.0,M,0.4716658,14.0
214,120.0,M,0.4302088,15.0
215,120.0,M,0.4469687,16.0
216,120.0,M,0.446328,17.0
217,120.0,M,0.4337485,18.0
218,120.0,M,0.4348288,19.0
219,120.0,M,0.4296586,20.0
