,Trial,BPM,GestureSize,MedianVelocityYRegionOne,MedianVelocityYRegionTwo,MeanVelocityYRegionOne,MeanVelocityYRegionTwo
0,1.0,80.0,S,0.9909015,-0.5254265,0.8226561933333333,-0.4987065458750001
1,2.0,80.0,S,0.8597884500000001,-0.4884483,0.7280751024999998,-0.38367752699999996
2,3.0,80.0,S,0.9346805499999999,-0.58622945,0.8493935,-0.4986923689999999
3,4.0,80.0,S,1.03064355,-0.4549518,0.8910749857142858,-0.5033713988888889
4,5.0,80.0,S,1.078234,-0.4659891,0.8630988933333335,-0.5097976066666666
5,6.0,80.0,S,0.9626153,-0.5942459,0.8932810474999999,-0.5807795
6,7.0,80.0,S,0.9919631,-0.6301249,0.9436238066666666,-0.4955016666666666
7,8.0,80.0,S,1.0364389999999999,-0.6276236999999999,0.9945980999999999,-0.5031442133333334
8,9.0,80.0,S,1.1430924999999998,-0.6389865,1.1031334142857143,-0.45167805818181817
9,10.0,80.0,S,1.152874,-0.5271272,0.9809990588235292,-0.5295334589999999
10,11.0,80.0,S,1.146075,-0.48899020000000004,0.9176568866666666,-0.498561819
11,12.0,80.0,S,0.9118195,-0.3897686,0.9479840153846154,-0.40604429500000006
12,13.0,80.0,S,0.9155338,-0.6426947,0.8070714146666665,-0.6122289375
13,14.0,80.0,S,0.80183725,-0.6154723000000001,0.7250566562500002,-0.49507482222222216
14,15.0,80.0,S,0.9868748,-0.5583451500000001,0.8487914435714288,-0.48984527
15,16.0,80.0,S,0.9024853,-0.6046876999999999,0.8714710626666666,-0.6391413555555556
16,17.0,80.0,S,0.8488409,-0.5765036,0.7504841525,-0.48057400000000006
17,18.0,80.0,S,0.8985470999999999,-0.5716011999999999,0.8723413249999998,-0.47636928
18,19.0,80.0,S,0.8497884,-0.5427526,0.8026058357142857,-0.4726304088888889
19,20.0,80.0,S,0.8581312000000001,-0.4833593,0.7549335125,-0.44005840100000004
20,21.0,80.0,S,0.8608434000000001,-0.3171271,0.8783088923076925,-0.3398647885714286
21,22.0,80.0,S,0.8686193000000001,-0.434212,0.8188322615384618,-0.40429386412499996
22,23.0,80.0,S,0.9174996999999999,-0.48178699999999997,0.8656369,-0.44196136875
23,24.0,80.0,S,0.9330976000000001,-0.6555261,0.7978089538461538,-0.5669805142857143
24,25.0,80.0,S,0.9066843000000001,-0.5281732,0.7685358076923078,-0.4158781171428571
25,26.0,80.0,S,0.8916371999999999,-0.30655140000000003,0.82989526,-0.34024786875
26,27.0,80.0,S,1.061303,-0.5638628000000001,0.8834124138461539,-0.5131412225
27,28.0,80.0,S,0.8697984000000001,-0.3904042,0.8669050916666668,-0.4049684142857143
28,29.0,80.0,S,0.68746095,-0.46955094999999997,0.6784819333333334,-0.3919728
29,30.0,80.0,S,0.7940944000000001,-0.4238149000000001,0.7816130223076925,-0.3848747588888889
30,31.0,80.0,S,0.7344878,-0.4635206,0.7211061750000001,-0.35010945714285713
31,32.0,80.0,S,0.8811319000000001,-0.5367455,0.71180155,-0.45379597142857137
32,33.0,80.0,S,0.8905774999999999,-0.584859,0.7388774575,-0.47860856142857144
33,34.0,80.0,S,0.8872680500000001,-0.5697279,0.8004597166666668,-0.40112413375
34,35.0,80.0,S,0.94320385,-0.6810895,0.8533761833333333,-0.5860328042857142
35,36.0,80.0,S,0.9026247,-0.5535638,0.838756557692308,-0.4313385571428571
36,37.0,80.0,S,0.86326,-0.42731660000000005,0.8308967538461538,-0.450657465
37,38.0,80.0,S,0.9105639999999999,-0.5953820999999999,0.8105512600000001,-0.5153826166666666
