,Unnamed: 0,ID,GestureSize,Velocity_X,Velocity_Y,Velocity_Z,Position_X,Position_Y,Position_z,VelocityMagnitude,TimeRelativeToPrep,AngleToBP1,DistanceCoveredSoFar,Acceleration,BPM,Trial
7486,7548,370.38S100T7,S,-0.40835720000000003,-0.08882358,-0.2265695,0.5228407,-0.5507813,0.03901719,0.47537250000000003,0.2,-999.0,0.0,15.71694,100,27
7487,7549,370.4S100T7,S,-0.4069959,0.3269939,-0.16782170000000002,0.5122983,-0.5308107,0.03642359,0.5483929,0.22,61.46977,0.02273092,15.696879999999998,100,27
7488,7550,370.42S100T7,S,-0.37531970000000003,0.6856920999999999,-0.10193839999999998,0.5032452000000001,-0.5031299,0.036055300000000005,0.7883083000000001,0.24,67.41765,0.05185689,12.25061,100,27
7489,7551,370.44S100T7,S,-0.3189671,0.9352472,-0.05199468,0.49634520000000004,-0.4720184,0.03667825,0.9895103999999999,0.26,71.33995,0.08373044,9.494688,100,27
7490,7552,370.46S100T7,S,-0.3189671,0.9352472,-0.05199468,0.48996590000000007,-0.4533134,0.03563835,0.9895103999999999,0.28,71.26994,0.1035207,9.494688,100,27
7491,7553,370.48S100T7,S,-0.2507971,1.1157709999999998,-0.02660586,0.49155,-0.437779,0.03739695,1.14392,0.3,74.50265999999999,0.1192343,6.339980000000001,100,27
7492,7554,370.5S100T7,S,-0.1722901,1.215746,-0.02951504,0.48884390000000005,-0.4027466,0.03742268,1.228248,0.32,77.05228000000001,0.15437120000000001,2.528627,100,27
7493,7555,370.52S100T7,S,-0.12103339999999999,1.195553,-0.04586254,0.48668240000000007,-0.3717522,0.03640668,1.202539,0.34,78.55269,0.1854574,3.390328,100,27
7494,7556,370.54S100T7,S,-0.07758672,1.096034,-0.05863464,0.4855241,-0.3453982,0.03503734,1.1003399999999999,0.36,79.64497,0.21187240000000002,5.903861,100,27
7495,7557,370.56S100T7,S,-0.07758672,1.096034,-0.05863464,0.4839724,-0.32347750000000003,0.03386465,1.1003399999999999,0.38,80.21316999999999,0.23387919999999998,5.903861,100,27
7496,7558,370.6S100T7,S,-0.024587599999999998,0.7365577,-0.04828964,0.4847727,-0.3107051,0.03292908,0.7385483,0.42,80.87724,0.24671079999999998,8.063842999999999,100,27
7497,7559,370.62S100T7,S,-0.009966668,0.5281019,-0.03232523,0.48473469999999996,-0.30211720000000003,0.03262545,0.5291840999999999,0.44,81.16779,0.25530410000000003,8.136683,100,27
7498,7560,370.68S100T7,S,0.003821593,0.1394156,0.01194572,0.48482770000000003,-0.29682090000000005,0.03417565,0.1399787,0.5,81.41936,0.2608234,8.227199,100,27
7499,7561,370.7S100T7,S,0.006522423,-0.06731103,0.04224291,0.4847542,-0.30653990000000003,0.03585252,0.07973569,0.52,81.10674,0.2706863,7.869141,100,27
7500,7562,370.72S100T7,S,0.01306114,-0.23946579999999998,0.06686816,0.4849279,-0.31699959999999994,0.03816534,0.2489695,0.54,80.78614,0.2814001,8.148958,100,27
7501,7563,370.74S100T7,S,0.01960807,-0.4469065,0.09139359,0.4857062,-0.3345407,0.04117153,0.4565772,0.56,80.23969,0.29921390000000003,7.4688740000000005,100,27
7502,7564,370.76S100T7,S,0.02237521,-0.6197563,0.09209128,0.4864879,-0.3556267,0.04349315,0.6269604,0.58,79.37016,0.32044179999999994,5.647074,100,27
7503,7565,370.78S100T7,S,0.02237521,-0.6197563,0.09209128,0.4869354,-0.3680218,0.04533498,0.6269604,0.6,78.71869000000001,0.33298099999999997,5.647074,100,27
7504,7566,370.8S100T7,S,0.02101332,-0.7386134,0.07720929,0.4870889,-0.3781623,0.04488883,0.7429351,0.62,78.14633,0.3431324,4.832767,100,27
7505,7567,370.82S100T7,S,0.03169885,-0.8827763000000001,0.07227977,0.4882892,-0.4048697,0.04634298,0.8862975000000001,0.64,76.39263000000001,0.3699063,6.2734,100,27
