,ID,GestureSize,Velocity_X,Velocity_Y,Velocity_Z,Position_X,Position_Y,Position_z,VelocityMagnitude,TimeRelativeToPrep,AngleToBP1,DistanceCoveredSoFar,Acceleration,BPM,Trial
7507,367.86S100T6,S,-0.1882624,-0.7891116,-0.1733873,0.5699075,-0.547595,0.06648395,0.82958,0.04,-999,0,4.121796,100,6.0
7508,367.88S100T6,S,-0.2459062,-0.6923745,-0.2175485,0.5658555,-0.5473855,0.06245479,0.7662765,0.06,-999,0,6.824093,100,6.0
7509,367.9S100T6,S,-0.3059336,-0.4702648,-0.2449696,0.5563909,-0.5539029,0.05466373,0.6121719,0.08,-999,0,11.15472,100,6.0
7510,367.92S100T6,S,-0.3489411,-0.1716608,-0.2383571,0.5461497,-0.5503793,0.04829025,0.4561156,0.1,-999,0,13.93888,100,6.0
7511,367.94S100T6,S,-0.3690594,0.2046275,-0.2006325,0.5358123,-0.534769,0.04404152,0.4672586,0.12,54.39836,0.01919885,14.81066,100,6.0
7512,367.96S100T6,S,-0.3690594,0.2046275,-0.2006325,0.5284311,-0.5306764,0.04002887,0.4672586,0.14,45.22314,0.02854404,14.81066,100,6.0
7513,367.98S100T6,S,-0.3464735,0.5536625,-0.1505951,0.5270718,-0.5108055,0.04177556,0.6702724,0.16,63.00491,0.0485378,11.79294,100,6.0
7514,368S100T6,S,-0.3019929,0.8047727,-0.1149001,0.5202255,-0.4830551,0.04024734,0.8672144,0.18,68.04206,0.07716112,9.558646,100,6.0
7515,368.02S100T6,S,-0.2532274,0.9965231,-0.09357069,0.5148235,-0.451644,0.03907936,1.032443,0.2,71.70065,0.1090547,6.662928,100,6.0
7516,368.04S100T6,S,-0.1917526,1.11635,-0.09093774,0.5110924,-0.4187766,0.03754367,1.136344,0.22,74.43094,0.1421688,3.033367,100,6.0
7517,368.06S100T6,S,-0.1917526,1.11635,-0.09093774,0.5072573,-0.3964496,0.03572491,1.136344,0.24,75.12979,0.1648957,3.033367,100,6.0
7518,368.08S100T6,S,-0.1486938,1.13846,-0.1013856,0.5081602,-0.3883868,0.03517076,1.152597,0.26,76.06602,0.1730279,1.880264,100,6.0
7519,368.1S100T6,S,-0.1071644,1.089579,-0.1198095,0.5062468,-0.360725,0.03213543,1.101372,0.28,77.2113,0.2009213,3.631462,100,6.0
7520,368.12S100T6,S,-0.08292841,0.9769288,-0.1220669,0.5044965,-0.337889,0.02931609,0.9880118,0.3,77.84399,0.2239972,6.140942,100,6.0
7521,368.14S100T6,S,-0.06300319,0.8012605,-0.1022367,0.503156,-0.3211626,0.02741792,0.81021,0.32,78.22238,0.2408843,7.502969,100,6.0
7522,368.16S100T6,S,-0.06300319,0.8012605,-0.1022367,0.501896,-0.3051374,0.02537319,0.81021,0.34,78.51333,0.2570885,7.502969,100,6.0
7523,368.24S100T6,S,-0.002491452,0.04064272,0.05402358,0.5015058,-0.3062109,0.0309047,0.06765047,0.42,78.8987,0.2627367,8.044706,100,6.0
7524,368.28S100T6,S,0.007965506,-0.1419653,0.09649787,0.501917,-0.3145189,0.03450667,0.1718413,0.46,78.88676,0.2718013,7.423601,100,6.0
7525,368.3S100T6,S,0.01646286,-0.3174019,0.1217698,0.502498,-0.327248,0.03826445,0.340357,0.48,78.65008,0.2850862,6.195937,100,6.0
7526,368.32S100T6,S,0.01606786,-0.4500598,0.1235945,0.5029018,-0.3424035,0.04138159,0.4669985,0.5,78.1082,0.3005642,4.868587,100,6.0
7527,368.34S100T6,S,0.01200933,-0.5696818,0.1132166,0.5031945,-0.3604107,0.04383742,0.5809472,0.52,77.19266,0.3187404,4.662773,100,6.0
7528,368.36S100T6,S,0.01200933,-0.5696818,0.1132166,0.5034347,-0.3718043,0.04610175,0.5809472,0.54,76.53063,0.3303593,4.662773,100,6.0
7529,368.38S100T6,S,0.01594221,-0.6835188,0.1052956,0.5037119,-0.3810686,0.04612178,0.6917653,0.56,75.91104,0.3396278,4.896731,100,6.0
7530,368.4S100T6,S,0.03073703,-0.8204011,0.09759316,0.5048456,-0.4058558,0.04812897,0.8267571,0.58,74.05019,0.364522,4.947216,100,6.0
7531,368.42S100T6,S,0.04931539,-0.9196305,0.08574188,0.5066977,-0.4322207,0.04972549,0.9249346,0.6,71.52495,0.391,4.107494,100,6.0
7532,368.44S100T6,S,0.07192367,-0.9979601,0.05398232,0.509268,-0.460313,0.04980081,1.002004,0.62,67.71427,0.4192098,2.875595,100,6.0
7533,368.46S100T6,S,0.07192367,-0.9979601,0.05398232,0.5107065,-0.4802722,0.05088046,1.002004,0.64,63.11923,0.4392499,2.875595,100,6.0
7534,368.48S100T6,S,0.102717,-1.063853,0.01505412,0.5126793,-0.4895805,0.04860806,1.068906,0.66,61.16558,0.4490325,3.084174,100,6.0
7535,368.5S100T6,S,0.1124477,-1.108382,-0.01838049,0.5159299,-0.5194311,0.04675867,1.114223,0.68,45.64549,0.4791164,2.026371,100,6.0
7536,368.52S100T6,S,0.1079913,-1.084073,-0.06476951,0.5185733,-0.5471551,0.04309528,1.091362,0.7,6.554396,0.5072061,4.045887,100,6.0
7537,368.54S100T6,S,0.08345404,-0.9114289,-0.1100411,0.520195,-0.5667886,0.03811149,0.9218332,0.72,30.48044,0.5275272,10.79888,100,6.0
7538,370.18S100T7,S,-0.03491922,-0.5163431,-0.02484442,0.5816031,-0.4431781,0.0833863,0.5181184,0,-999,0,3.64024,100,7.0
7539,370.2S100T7,S,-0.06460311,-0.6042037,-0.05329241,0.579146,-0.4610515,0.08105762,0.6099801,0.02,-999,0,3.773482,100,7.0
7540,370.22S100T7,S,-0.1011031,-0.6794243,-0.08711847,0.5755982,-0.4805643,0.07769168,0.692408,0.04,-999,0,3.738827,100,7.0
7541,370.24S100T7,S,-0.1467811,-0.7358928,-0.1273774,0.5705855,-0.5011584,0.0729486,0.7611228,0.06,-999,0,3.169003,100,7.0
7542,370.26S100T7,S,-0.2038986,-0.7510702,-0.1756408,0.5636727,-0.5211517,0.06656298,0.7978288,0.08,-999,0,2.911851,100,7.0
