,BPM,GestureSize,TotalDistanceCoveredBothRegions,TotalDistanceCoveredInRegionOne,TotalDistanceCoveredInRegionTwo,Trial
82,120.0,S,0.33672820000000003,0.2384775,0.09825070000000002,3.0
83,120.0,S,0.312629,0.2181976,0.0944314,4.0
84,120.0,S,0.2924291,0.2139355,0.0784936,5.0
85,120.0,S,0.3357731,0.2358129,0.0999602,6.0
86,120.0,S,0.4031222,0.2784722,0.12464999999999998,7.0
87,120.0,S,0.4114292000000001,0.3006929,0.11073630000000012,8.0
88,120.0,S,0.3433606,0.2437839,0.09957670000000002,9.0
89,120.0,S,0.4067881,0.2842288,0.12255929999999998,10.0
90,120.0,S,0.3872815,0.27432929999999994,0.11295220000000006,11.0
91,120.0,S,0.4032908,0.29020159999999995,0.11308920000000006,12.0
92,120.0,S,0.3865277,0.2732865,0.11324119999999999,13.0
93,120.0,S,0.3998497,0.3025703,0.09727939999999996,14.0
94,120.0,S,0.4479106,0.3151213,0.1327893,15.0
95,120.0,S,0.4053042,0.2900547,0.1152495,16.0
96,120.0,S,0.4421698000000001,0.3129686,0.12920120000000013,17.0
97,120.0,S,0.490891,0.3397166,0.15117440000000004,18.0
98,120.0,S,0.4715406,0.3554285,0.1161121,19.0
99,120.0,S,0.516556,0.347236,0.16932000000000003,20.0
100,120.0,S,0.3492295,0.2451221,0.10410740000000002,21.0
101,120.0,S,0.3871531,0.2734035,0.11374959999999995,22.0
102,120.0,S,0.4396390000000001,0.30741890000000005,0.13222010000000006,23.0
103,120.0,S,0.3746733,0.2662625,0.10841079999999997,24.0
104,120.0,S,0.3662896,0.2575942,0.1086954,25.0
105,120.0,S,0.3196677,0.2237264,0.09594130000000001,26.0
106,120.0,S,0.3310297,0.2424124,0.08861729999999998,27.0
107,120.0,S,0.3838192,0.2698866,0.11393260000000005,28.0
108,120.0,S,0.3688986,0.2590307,0.10986790000000002,29.0
109,120.0,S,0.3572252,0.2531698,0.10405540000000002,30.0
110,120.0,S,0.3397574,0.2336976,0.10605979999999998,31.0
111,120.0,S,0.3531223,0.2443619,0.10876040000000001,32.0
112,120.0,S,0.3182054,0.2289814,0.08922400000000003,33.0
113,120.0,S,0.32446290000000005,0.23173890000000005,0.092724,34.0
114,120.0,S,0.0,0.0,0.0,35.0
115,120.0,S,0.337798,0.2440133,0.0937847,36.0
116,120.0,S,0.2916096,0.2095718,0.08203780000000002,37.0
117,120.0,S,0.3210061,0.2263691,0.09463700000000003,38.0
118,120.0,S,0.3629141,0.2639611,0.09895300000000001,39.0
119,120.0,S,0.3631333,0.2573282,0.10580509999999999,40.0
120,80.0,M,0.8103001,0.5678506999999999,0.24244940000000004,1.0
121,80.0,M,0.7950491999999999,0.5687035,0.22634569999999987,2.0
122,80.0,M,0.8436991,0.5860084,0.25769070000000005,3.0
123,80.0,M,0.8958658000000002,0.6151456999999999,0.28072010000000025,4.0
124,80.0,M,0.8511571,0.5928309,0.25832619999999995,5.0
125,80.0,M,0.8161834,0.5709519000000001,0.24523149999999994,6.0
126,80.0,M,0.7579640000000001,0.5201948000000001,0.2377692,7.0
127,80.0,M,0.7656816999999999,0.5387132,0.2269684999999999,8.0
128,80.0,M,0.7760203,0.5427393,0.23328099999999996,9.0
129,80.0,M,0.6696247,0.4887452000000001,0.18087949999999986,10.0
130,80.0,M,0.634998,0.4596262,0.17537179999999997,11.0
131,80.0,M,0.6989081,0.489111,0.20979710000000001,12.0
132,80.0,M,0.7618595,0.5442583000000001,0.21760119999999994,13.0
133,80.0,M,0.7027188,0.4897001,0.21301869999999995,14.0
134,80.0,M,0.6313196999999999,0.4655887,0.1657309999999999,15.0
135,80.0,M,0.7553853,0.5180371,0.2373482,16.0
136,80.0,M,0.7149049,0.4826937,0.23221119999999995,17.0
137,80.0,M,0.6723256999999999,0.4642431,0.2080825999999999,18.0
138,80.0,M,0.6702523,0.4584431,0.21180920000000003,19.0
139,80.0,M,0.694259,0.4854663,0.20879269999999994,20.0
140,80.0,M,0.4739609,0.348235,0.1257259,21.0
141,80.0,M,0.5882361999999999,0.4155801,0.17265609999999987,22.0
142,80.0,M,0.5933202,0.4400444000000001,0.15327579999999985,23.0
143,80.0,M,0.5884,0.4267118,0.16168820000000006,24.0
144,80.0,M,0.5717658,0.3996184,0.1721474,25.0
145,80.0,M,0.6167274,0.4325455,0.1841819,26.0
146,80.0,M,0.6209255,0.438153,0.1827725,27.0
147,80.0,M,0.6183426,0.4299324000000001,0.18841019999999986,28.0
