,Trial,BPM,GestureSize,MedianVelocityRegionOne,MedianVelocityRegionTwo,RegionOneDistance,RegionTwoDistance,TotalRegionDistance,MaxAngleRegionOne,MaxAngleRegionTwo,MinAngleRegionTwo,TimeDiffRegionOneToPlane,TimeDiffRegionTwoToPlane,TimeEndRegionOne,TimeEndRegionTwo,TimeStartRegionOne,TimeStartRegionTwo,TimeDifferenceBetweenCollisions
26,27.0,80.0,S,1.131369,0.6330835,0.315386,0.1481676,0.4635536,76.95954,81.73026,78.15295,0.27,0.13,0.46,0.6,0.16,0.48,0.57
27,28.0,80.0,S,0.9179787,0.4420786,0.27808,0.11802400000000003,0.396104,76.89244000000002,78.65977,75.85452,0.27,0.13,0.44,0.58,0.18,0.48,0.53
28,29.0,80.0,S,0.73262585,0.4972412000000001,0.2284459,0.10658280000000003,0.3350287,76.49643,77.20119,71.96552,0.27,0.11,0.38,0.54,0.12,0.44,0.53
29,30.0,80.0,S,0.8361951999999999,0.4742837,0.2856006,0.13297369999999994,0.4185743,73.12739,74.28556,68.49441,0.33,0.15000000000000002,0.46,0.64,0.18,0.5,0.6100000000000001
30,31.0,80.0,S,0.7943633000000001,0.4763846,0.2302635,0.08936879999999997,0.3196323,79.64876,79.89737,75.37826,0.22999999999999995,0.11,0.46,0.58,0.18,0.48,0.51
31,32.0,80.0,S,0.9220046999999999,0.5798736,0.2625386,0.10369639999999997,0.366235,76.81494,77.86904,76.44333,0.27,0.15000000000000002,0.46,0.58,0.12,0.48,0.61
32,33.0,80.0,S,0.9515731,0.6180365,0.2419057000000001,0.10687969999999992,0.3487854,76.22479,77.39246,74.44161,0.23,0.11,0.48,0.6,0.18,0.5,0.53
33,34.0,80.0,S,0.919812,0.6403205999999999,0.2596422,0.11734440000000003,0.3769866,77.2402,77.65415,70.77595,0.33,0.13,0.46,0.66,0.22,0.52,0.5700000000000001
34,35.0,80.0,S,0.99648995,0.7081435,0.2762066,0.12377750000000005,0.3999841,75.43722,75.76661,70.3477,0.24999999999999994,0.11,0.46,0.6,0.16,0.5,0.5499999999999999
35,36.0,80.0,S,0.9429286,0.5690156999999999,0.28585320000000003,0.1227163,0.4085695,73.48909,73.37751,63.97155,0.27,0.08999999999999997,0.38,0.56,0.12,0.44,0.53
36,37.0,80.0,S,0.8890099,0.46729709999999997,0.2751325,0.12271369999999998,0.3978462,74.95906,75.70433,70.21124,0.24999999999999994,0.11,0.44,0.58,0.14,0.46,0.5499999999999999
37,38.0,80.0,S,0.9762521,0.6186359499999999,0.2436518,0.09237779999999997,0.3360296,77.25126999999998,79.25715,78.12387,0.23,0.13,0.5,0.6,0.2,0.52,0.53
38,39.0,80.0,S,1.0045110000000002,0.4943858,0.26986409999999994,0.11920560000000008,0.3890697,76.11294000000002,76.1962,71.69699,0.25,0.11,0.48,0.62,0.18,0.5,0.55
39,40.0,80.0,S,1.04361,0.5168369,0.2495722,0.093391,0.3429632,78.3678,78.50726999999998,76.11907,0.21,0.11,0.44,0.54,0.16,0.46,0.49
40,1.0,100.0,S,1.133827,0.4012046,0.3328407,0.1237061,0.4565468,69.73721,71.36001999999998,68.70116999999999,0.24999999999999994,0.11,0.34,0.48,0.08,0.38,0.51
41,2.0,100.0,S,1.25128,0.5480163,0.3685446,0.1661629,0.5347075,67.85178,68.41255,61.77036999999999,0.27,0.11,0.42,0.58,0.14,0.44,0.5499999999999999
42,3.0,100.0,S,1.3015845,0.6751845999999999,0.353691,0.15965759999999996,0.5133485999999999,71.5163,74.70515,71.91444,0.31,0.11,0.32,0.52,0.08,0.36,0.55
43,5.0,100.0,S,1.397207,0.6786937000000001,0.3873751,0.16738540000000002,0.5547605,68.37245,68.63251,58.51601,0.2500000000000001,0.11000000000000004,0.32,0.46,0.02,0.34,0.55
