,BPM,GestureSize,MaxAngleRegionOne,MaxAngleRegionTwo,Trial
119,120.0,S,76.41346999999998,76.63585,40.0
120,80.0,M,79.95868,81.46840999999998,1.0
121,80.0,M,81.37791,84.75583,2.0
122,80.0,M,77.63309,79.26398,3.0
123,80.0,M,79.54202,80.56128000000002,4.0
124,80.0,M,75.08839,77.22049,5.0
125,80.0,M,77.46368000000002,80.70317,6.0
126,80.0,M,73.33391,75.31461999999998,7.0
127,80.0,M,78.93096,81.7878,8.0
128,80.0,M,77.22505,79.04424,9.0
129,80.0,M,73.27368,74.73613,10.0
130,80.0,M,74.17945,76.1976,11.0
131,80.0,M,75.97985,79.45911,12.0
132,80.0,M,76.10168,77.55922,13.0
133,80.0,M,74.42553000000002,77.47367,14.0
134,80.0,M,74.31519,75.32914,15.0
135,80.0,M,84.61496,86.89115,16.0
136,80.0,M,69.32639,71.83084000000002,17.0
137,80.0,M,72.51018,73.22598,18.0
138,80.0,M,77.1881,77.65415,19.0
139,80.0,M,74.95297,76.13884,20.0
140,80.0,M,69.66894,69.54774,21.0
141,80.0,M,83.55664,80.59966,22.0
142,80.0,M,72.28777,73.24305,23.0
143,80.0,M,73.35793000000002,73.93918000000002,24.0
144,80.0,M,74.0816,75.85498,25.0
145,80.0,M,73.59891,73.71725,26.0
146,80.0,M,70.99854,71.84338000000002,27.0
147,80.0,M,77.8806,76.27199999999998,28.0
148,80.0,M,73.47659,73.4151,29.0
149,80.0,M,77.14559,77.42889,30.0
150,80.0,M,80.81844,81.21491999999998,31.0
151,80.0,M,72.5974,72.97251999999997,32.0
152,80.0,M,72.39153,74.00254,33.0
153,80.0,M,73.60117,75.47886,34.0
154,80.0,M,74.16011,76.23295999999998,35.0
155,80.0,M,70.43462,71.91781999999998,36.0
156,80.0,M,74.14577,75.38928,37.0
157,80.0,M,76.98141,78.7907,38.0
158,80.0,M,72.42738,72.89823,39.0
159,80.0,M,81.16839,76.62318,40.0
160,100.0,M,80.79231,78.62232,1.0
161,100.0,M,79.62014,81.17751,2.0
162,100.0,M,76.41554000000002,77.89303000000002,3.0
163,100.0,M,82.30558,88.2889,4.0
164,100.0,M,77.60501,79.07776,5.0
165,100.0,M,77.27164,77.79749,6.0
166,100.0,M,81.82346,87.91449,7.0
167,100.0,M,82.82725,85.4948,8.0
168,100.0,M,81.47878,81.60451,9.0
